                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |    5127957 |   99977580 |    4580605 |   99980830 |    4581311 |   99983678 |    4362621 |   99986279 |    4473147 |   99968460 |    4687465 |   99442860 |   99893692 |    4707355 |   99999853 |    4484721 |    4492621 |   99985510 |    4297179 |   99630059 |    4731431 |   99885736 |    4630265 |   99950616 |    4888257 |   99951133 |    4181895 |   99770797 |   99979708 |    4905501 |   99973070 |    4813799
  Cycles                             |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480 |   78027480
  IPC                                |       0.07 |       1.28 |       0.06 |       1.28 |       0.06 |       1.28 |       0.06 |       1.28 |       0.06 |       1.28 |       0.06 |       1.27 |       1.28 |       0.06 |       1.28 |       0.06 |       0.06 |       1.28 |       0.06 |       1.28 |       0.06 |       1.28 |       0.06 |       1.28 |       0.06 |       1.28 |       0.05 |       1.28 |       1.28 |       0.06 |       1.28 |       0.06
  Time (ns)                          |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300 |   21674300
  Idle time (ns)                     |        -82 |      74900 |      43644 |      74900 |      64174 |      74900 |      44273 |      74900 |      73249 |      74907 |      44388 |      74900 |      74905 |      66373 |      74910 |      74347 |      66349 |      74900 |      68096 |      74901 |      65172 |      74918 |      17180 |      74900 |      53887 |      74905 |      71153 |      74904 |      74900 |      41974 |      74901 |      28364
  Idle time (%)                      |      -0.0% |       0.3% |       0.2% |       0.3% |       0.3% |       0.3% |       0.2% |       0.3% |       0.3% |       0.3% |       0.2% |       0.3% |       0.3% |       0.3% |       0.3% |       0.3% |       0.3% |       0.3% |       0.3% |       0.3% |       0.3% |       0.3% |       0.1% |       0.3% |       0.2% |       0.3% |       0.3% |       0.3% |       0.3% |       0.2% |       0.3% |       0.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     219272 |    3867335 |     198220 |    3867460 |     198248 |    3867569 |     189836 |    3867669 |     194087 |    3866984 |     202330 |    3846769 |    3864108 |     203095 |    3868191 |     194533 |     194836 |    3867640 |     187319 |    3853969 |     204021 |    3863802 |     200130 |    3866298 |     210053 |    3866318 |     182885 |    3859382 |    3867417 |     210716 |    3867161 |     207189
  num incorrect                      |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406 |       4406
  misprediction rate                 |      1.97% |      0.11% |      2.17% |      0.11% |      2.17% |      0.11% |      2.27% |      0.11% |      2.22% |      0.11% |      2.13% |      0.11% |      0.11% |      2.12% |      0.11% |      2.21% |      2.21% |      0.11% |      2.30% |      0.11% |      2.11% |      0.11% |      2.15% |      0.11% |      2.05% |      0.11% |      2.35% |      0.11% |      0.11% |      2.05% |      0.11% |      2.08%
  mpki                               |       0.86 |       0.04 |       0.96 |       0.04 |       0.96 |       0.04 |       1.01 |       0.04 |       0.98 |       0.04 |       0.94 |       0.04 |       0.04 |       0.94 |       0.04 |       0.98 |       0.98 |       0.04 |       1.03 |       0.04 |       0.93 |       0.04 |       0.95 |       0.04 |       0.90 |       0.04 |       1.05 |       0.04 |       0.04 |       0.90 |       0.04 |       0.92
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     778536 |   15370786 |     694328 |   15371286 |     694437 |   15371724 |     660792 |   15372124 |     677796 |   15369383 |     710768 |   15288522 |   15357880 |     713828 |   15374212 |     679577 |     680792 |   15372006 |     650724 |   15317321 |     717532 |   15356656 |     701968 |   15366638 |     741659 |   15366717 |     632988 |   15338973 |   15371114 |     744312 |   15370092 |     730204
    num misses                       |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84 |         84
    miss rate                        |      0.01% |      0.00% |      0.01% |      0.00% |      0.01% |      0.00% |      0.01% |      0.00% |      0.01% |      0.00% |      0.01% |      0.00% |      0.00% |      0.01% |      0.00% |      0.01% |      0.01% |      0.00% |      0.01% |      0.00% |      0.01% |      0.00% |      0.01% |      0.00% |      0.01% |      0.00% |      0.01% |      0.00% |      0.00% |      0.01% |      0.00% |      0.01%
    mpki                             |       0.02 |       0.00 |       0.02 |       0.00 |       0.02 |       0.00 |       0.02 |       0.00 |       0.02 |       0.00 |       0.02 |       0.00 |       0.00 |       0.02 |       0.00 |       0.02 |       0.02 |       0.00 |       0.02 |       0.00 |       0.02 |       0.00 |       0.02 |       0.00 |       0.02 |       0.00 |       0.02 |       0.00 |       0.00 |       0.02 |       0.00 |       0.02
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4251284 |   84508654 |    3788140 |   84511404 |    3788735 |   84513817 |    3603692 |   84516018 |    3697214 |   84500939 |    3878560 |   84056200 |   84437675 |    3895390 |   84527502 |    3707005 |    3713692 |   84515364 |    3548318 |   84214598 |    3915762 |   84430943 |    3830160 |   84485839 |    4048460 |   84486276 |    3450770 |   84333684 |   84510456 |    4063052 |   84504841 |    3985458
    num misses                       |       7578 |     150080 |       6755 |     150085 |       6756 |     150089 |       6428 |     150093 |       6594 |     150066 |       6916 |     149277 |     149954 |       6946 |     150113 |       6611 |       6623 |     150092 |       6329 |     149558 |       6982 |     149942 |       6830 |     150040 |       7217 |     150040 |       6156 |     149769 |     150083 |       7243 |     150073 |       7106
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
