                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362
  Cycles                             |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320 |  501520320
  IPC                                |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200 |  139311200
  Idle time (ns)                     |    6272920 |    2323343 |    6460451 |    3966318 |    4277104 |    2101273 |     275957 |    7829625 |   70862841 |   70880165 |   70889120 |   70889524 |   70871663 |   70798852 |   70885899 |   70887260 |   94185662 |   94180709 |   94186951 |   94187621 |   94186625 |   94186947 |   94183935 |   94182651 |  113005004 |  113084615 |  112960353 |  113136463 |  113113538 |  113055125 |  113044945 |  113065699
  Idle time (%)                      |       4.5% |       1.7% |       4.6% |       2.8% |       3.1% |       1.5% |       0.2% |       5.6% |      50.9% |      50.9% |      50.9% |      50.9% |      50.9% |      50.8% |      50.9% |      50.9% |      67.6% |      67.6% |      67.6% |      67.6% |      67.6% |      67.6% |      67.6% |      67.6% |      81.1% |      81.2% |      81.1% |      81.2% |      81.2% |      81.2% |      81.1% |      81.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118
  num incorrect                      |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |      15770 |      15770 |      15770 |      15770 |      15770 |      15770 |      15770 |      15770 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469
  misprediction rate                 |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17%
