                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413
  Cycles                             |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120 |  404133120
  IPC                                |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  Time (ns)                          |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200 |  112259200
  Idle time (ns)                     |    1051194 |    1115649 |      19969 |      44126 |     110680 |     111920 |    1875827 |    1980836 |   45001956 |   44995008 |   45038560 |   45036156 |   45069054 |   45066700 |   44979563 |   44979989 |   85005419 |   85004907 |   85005406 |   85005048 |   81007982 |   81008542 |   85005371 |   85004832 |   67135663 |   67135811 |   65131382 |   65135217 |   64128757 |   64135454 |   66131065 |   66134959
  Idle time (%)                      |       0.9% |       1.0% |       0.0% |       0.0% |       0.1% |       0.1% |       1.7% |       1.8% |      40.1% |      40.1% |      40.1% |      40.1% |      40.1% |      40.1% |      40.1% |      40.1% |      75.7% |      75.7% |      75.7% |      75.7% |      72.2% |      72.2% |      75.7% |      75.7% |      59.8% |      59.8% |      58.0% |      58.0% |      57.1% |      57.1% |      58.9% |      58.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391
  num incorrect                      |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974
  misprediction rate                 |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17%
