Core0	Core1	Core2	Core3	Core4	Core5	Core6	Core7	Core8	Core9	Core10	Core11	Core12	Core13	Core14	Core15	Core16	Core17	Core18	Core19	Core20	Core21	Core22	Core23	Core24	Core25	Core26	Core27	Core28	Core29	Core30	Core31
3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600
3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600
0.001	0.001	0.001	0.001	0.001	0.001	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	0.001	0.001	0.001	0.001	0.001	0.001	3.600	3.600
3.600	3.600	3.600	3.600	3.600	3.600	0.001	0.001	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0.001	0.001	0.001	0.001	3.600	3.600	0.001	0.001	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	0.001	0.001	0.001	0.001
3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	3.600	3.600	3.600	3.600
3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	0.001	0.001	0.001	0.001	0.001	0.001	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	0.001	0.001
3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	0.001	0.001	0.001	0.001	3.600	3.600	0.001	0.001	0.001	0.001	3.600	3.600
3.600	3.600	0.001	0.001	0.001	0.001	3.600	3.600	0.001	0.001	3.600	3.600	0.001	0.001	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600
0.001	0.001	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	0.001	0.001	3.600	3.600	0.001	0.001	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	0.001	0.001
0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600
0.001	0.001	0.001	0.001	0.001	0.001	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	0.001	0.001	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600
0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	0.001	0.001	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600	3.600
