                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362
  Cycles                             |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880 |  158852880
  IPC                                |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63
  Time (ns)                          |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800 |   44125800
  Idle time (ns)                     |        226 |        -36 |        -35 |        262 |        -64 |        237 |        -59 |        229 |        207 |        -95 |        140 |        -18 |        237 |        -57 |        240 |        -50 |   23951128 |   23949638 |   23919666 |   23920649 |   23950914 |   23904278 |   23920882 |   23921491 |   24863016 |   24923054 |   24945524 |   24947304 |   24931196 |   24789778 |   24947391 |   24945456
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      54.3% |      54.3% |      54.2% |      54.2% |      54.3% |      54.2% |      54.2% |      54.2% |      56.3% |      56.5% |      56.5% |      56.5% |      56.5% |      56.2% |      56.5% |      56.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118
  num incorrect                      |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469
  misprediction rate                 |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17%
  mpki                               |       6.86 |       6.86 |       6.86 |       6.86 |       6.86 |       6.86 |       6.86 |       6.86 |       6.86 |       6.86 |       6.86 |       6.86 |       6.86 |       6.86 |       6.86 |       6.86 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
