                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362
  Cycles                             |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520 |  257780520
  IPC                                |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39
  Time (ns)                          |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700 |   71605700
  Idle time (ns)                     |    1410060 |    1411642 |       7936 |     503153 |     403059 |     407257 |    1394497 |    1390619 |   36091834 |   36092631 |   36094907 |   36095559 |   36092544 |   36092506 |   36091332 |   36094068 |   25454479 |   25480601 |   25482393 |   25482688 |   25480671 |   25480369 |   25481705 |   25461455 |   51430680 |   51431136 |   51431358 |   51428350 |   51430826 |   51430723 |   51430734 |   51430467
  Idle time (%)                      |       2.0% |       2.0% |       0.0% |       0.7% |       0.6% |       0.6% |       1.9% |       1.9% |      50.4% |      50.4% |      50.4% |      50.4% |      50.4% |      50.4% |      50.4% |      50.4% |      35.5% |      35.6% |      35.6% |      35.6% |      35.6% |      35.6% |      35.6% |      35.6% |      71.8% |      71.8% |      71.8% |      71.8% |      71.8% |      71.8% |      71.8% |      71.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118
  num incorrect                      |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |      15770 |      15770 |      15770 |      15770 |      15770 |      15770 |      15770 |      15770 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469
  misprediction rate                 |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17%
