Workload,FastCool,RoundRobin,Alternation,MFU,TemPo,TemPoE,NoDPBTM
WK1,20.59,2.07,1.9,1.62,1.56,1.43,1
WK2,1,1,1,1,1,1,1
WK3,8.87,1.55,1.64,1.014,1.02,1.014,1
WK4,17.67,1.24,1.25,1,1.19,1,1
WK5,17.49,1.47,1.44,1.19,1.33,1.19,1
WK6,17.65,1.47,1.47,1.47,1.47,1.47,1
WK7,1,1,1,1,1,1,1
WK8,8.4,1.33,1.4,1.06,1.46,1.06,1
WK9,15.94,1.47,1.47,1.47,1.47,1.47,1
WK10,12.72,1.26,1.26,1,1,1,1
WK11,8.97,1.48,1.53,1.04,1.02,1.02,1
WK12,8.93,2.54,5.3,1.86,4.75,1.71,1
WK13,8.96,1.60,1.58,1.78,1.62,1.72,1
WK14,1,1,1,1,1,1,1
WK15,8.12,1.08,1.06,1.22,1.05,1.05,1
