                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |  216066100 |   35299201 |  209184801 |  208539026 |  208541415 |  175745870 |  175743285 |  175743301 |  175743285 |  175743301 |  175743285 |  175743309 |  175743280 |  175743296 |  175743280 |  175743305 |  175743296 |  175743280 |  175743296 |  109258108 |  100459325 |   99248364 |  100892610 |   98399568 |   99224678 |   98145570 |  102426937 |  101084526 |   97525730 |   98240206 |   98516088 |   98337071 |   98450543 |   98507947 |   96704090 |   97945217 |   98461133 |   99232717 |  101178330 |   97924247 |   97783616 |   98378947 |   96616778 |  100622435 |  101735063 |  128327722 |   96676743 |   99105635 |   99258416 |   99613343 |   99735519 |   39530692 |   32791896 |   32791772 |   32796199 |   32795099 |   32792399 |   32796599 |   32800499 |   32789299 |   32801499 |   32793599 |   32792099 |   32797199
  Cycles                             |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680 |  368554680
  IPC                                |       0.59 |       0.10 |       0.57 |       0.57 |       0.57 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.30 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.28 |       0.27 |       0.26 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.26 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.26 |       0.27 |       0.28 |       0.35 |       0.26 |       0.27 |       0.27 |       0.27 |       0.27 |       0.11 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300 |  102376300
  Idle time (ns)                     |   65902262 |   95043709 |    6514796 |   62413142 |   63064780 |   69508181 |   69455585 |   69425764 |   69402150 |   69355445 |   69435020 |   69412467 |   69381162 |   69428167 |   69395273 |   69382584 |   69335044 |   69264573 |   69220604 |   78282428 |   78181147 |   78415133 |   78265581 |   78500790 |   78398575 |   78553356 |   77950866 |   78193875 |   78676179 |   78541856 |   78470849 |   78454512 |   78369334 |   78521995 |   78671237 |   78548202 |   78392249 |   78365068 |   78158689 |   78479093 |   78543128 |   78519470 |   78689699 |   78252834 |   78010577 |   78156960 |   78567101 |   78268668 |   78241606 |   78371851 |   78241336 |   95875428 |   96012947 |   95926252 |   95970638 |   95962534 |   96007511 |   95947787 |   95926771 |   95962796 |   95915899 |   95998500 |   95873260 |   95957072
  Idle time (%)                      |      64.4% |      92.8% |       6.4% |      61.0% |      61.6% |      67.9% |      67.8% |      67.8% |      67.8% |      67.7% |      67.8% |      67.8% |      67.8% |      67.8% |      67.8% |      67.8% |      67.7% |      67.7% |      67.6% |      76.5% |      76.4% |      76.6% |      76.4% |      76.7% |      76.6% |      76.7% |      76.1% |      76.4% |      76.8% |      76.7% |      76.6% |      76.6% |      76.6% |      76.7% |      76.8% |      76.7% |      76.6% |      76.5% |      76.3% |      76.7% |      76.7% |      76.7% |      76.9% |      76.4% |      76.2% |      76.3% |      76.7% |      76.5% |      76.4% |      76.6% |      76.4% |      93.7% |      93.8% |      93.7% |      93.7% |      93.7% |      93.8% |      93.7% |      93.7% |      93.7% |      93.7% |      93.8% |      93.6% |      93.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   11992734 |    1455108 |   32538681 |   19914590 |   19914341 |   18803346 |   18803067 |   18803067 |   18803067 |   18803067 |   18803067 |   18803068 |   18803069 |   18803069 |   18803069 |   18803069 |   18803069 |   18803069 |   18803069 |    9514540 |    8794272 |    8658723 |    8833144 |    8667700 |    8627791 |    8457205 |    8950189 |    8781160 |    8399519 |    8502086 |    8615076 |    8564214 |    8520337 |    8609012 |    8315077 |    8440106 |    8556374 |    8704564 |    8876044 |    8467911 |    8546896 |    8623943 |    8337372 |    8845504 |    8863991 |   11238932 |    8287226 |    8569725 |    8590882 |    8679097 |    8732305 |    5400416 |    1112993 |    1108801 |    1111796 |    1109717 |    1112795 |    1109231 |    1108738 |    1109243 |    1108332 |    1111752 |    1108978 |    1109697
  num incorrect                      |     294847 |     110898 |    1786111 |     663906 |     663860 |     568257 |     568204 |     568206 |     568204 |     568206 |     568204 |     568206 |     568200 |     568202 |     568200 |     568203 |     568202 |     568200 |     568202 |     186424 |     172877 |     171823 |     172262 |     170577 |     173398 |     174442 |     174981 |     175081 |     171526 |     172688 |     173160 |     173524 |     173819 |     169451 |     173196 |     173759 |     174504 |     172411 |     174812 |     171538 |     169271 |     171155 |     170135 |     172043 |     176041 |     225311 |     174928 |     174248 |     176187 |     172525 |     172424 |       8002 |      94334 |      98111 |      95231 |      97210 |      94032 |      97796 |      98189 |      97584 |      98695 |      95175 |      97849 |      97330
  misprediction rate                 |      2.40% |      7.08% |      5.20% |      3.23% |      3.23% |      2.93% |      2.93% |      2.93% |      2.93% |      2.93% |      2.93% |      2.93% |      2.93% |      2.93% |      2.93% |      2.93% |      2.93% |      2.93% |      2.93% |      1.92% |      1.93% |      1.95% |      1.91% |      1.93% |      1.97% |      2.02% |      1.92% |      1.95% |      2.00% |      1.99% |      1.97% |      1.99% |      2.00% |      1.93% |      2.04% |      2.02% |      2.00% |      1.94% |      1.93% |      1.99% |      1.94% |      1.95% |      2.00% |      1.91% |      1.95% |      1.97% |      2.07% |      1.99% |      2.01% |      1.95% |      1.94% |      0.15% |      7.81% |      8.13% |      7.89% |      8.05% |      7.79% |      8.10% |      8.14% |      8.09% |      8.18% |      7.89% |      8.11% |      8.06%
  mpki                               |       1.36 |       3.14 |       8.54 |       3.18 |       3.18 |       3.23 |       3.23 |       3.23 |       3.23 |       3.23 |       3.23 |       3.23 |       3.23 |       3.23 |       3.23 |       3.23 |       3.23 |       3.23 |       3.23 |       1.71 |       1.72 |       1.73 |       1.71 |       1.73 |       1.75 |       1.78 |       1.71 |       1.73 |       1.76 |       1.76 |       1.76 |       1.76 |       1.77 |       1.72 |       1.79 |       1.77 |       1.77 |       1.74 |       1.73 |       1.75 |       1.73 |       1.74 |       1.76 |       1.71 |       1.73 |       1.76 |       1.81 |       1.76 |       1.78 |       1.73 |       1.73 |       0.20 |       2.88 |       2.99 |       2.90 |       2.96 |       2.87 |       2.98 |       2.99 |       2.98 |       3.01 |       2.90 |       2.98 |       2.97
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   25777841 |    4040718 |   31462278 |   32072614 |   32074259 |   28255153 |   28254893 |   28254898 |   28254893 |   28254898 |   28254893 |   28254898 |   28254891 |   28254896 |   28254891 |   28254900 |   28254896 |   28254891 |   28254896 |   12034172 |   11000319 |   10883973 |   11021311 |   10772484 |   10893609 |   10786255 |   11224938 |   11082253 |   10742326 |   10780002 |   10820391 |   10806839 |   10862850 |   10780159 |   10650906 |   10799536 |   10831328 |   10892532 |   11104550 |   10758819 |   10748209 |   10813920 |   10639851 |   11008443 |   11149803 |   14117767 |   10664638 |   10893181 |   10925895 |   10955313 |   10958983 |    5540568 |    3817577 |    3818627 |    3818257 |    3818057 |    3818657 |    3817557 |    3819357 |    3816957 |    3819357 |    3817557 |    3818557 |    3818257
    num misses                       |        820 |        213 |        141 |         57 |         51 |         39 |         33 |         33 |         33 |         33 |         33 |         33 |         33 |         33 |         33 |         33 |         33 |         33 |         33 |         68 |         61 |         62 |         62 |         62 |         62 |         62 |         62 |         62 |         62 |         62 |         62 |         62 |         61 |         62 |         62 |         62 |         62 |         62 |         62 |         62 |         61 |         62 |         62 |         61 |         62 |         62 |         62 |         62 |         62 |         62 |         62 |        101 |         24 |         24 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18
    miss rate                        |      0.00% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   71979088 |   12126658 |   73217302 |   78067250 |   78070161 |   66745454 |   66744391 |   66744392 |   66744390 |   66744392 |   66744391 |   66744395 |   66744388 |   66744390 |   66744389 |   66744391 |   66744390 |   66744388 |   66744391 |   28097101 |   25569068 |   25298533 |   25603184 |   25109061 |   25319783 |   25086175 |   26065168 |   25763880 |   24987246 |   25098772 |   25196671 |   25141091 |   25237832 |   25086157 |   24816884 |   25102353 |   25207163 |   25310531 |   25768658 |   24997966 |   24957931 |   25114298 |   24713678 |   25565586 |   25906628 |   32918587 |   24831889 |   25347171 |   25413395 |   25457703 |   25473366 |   14896606 |   11321602 |   11322990 |   11323568 |   11323768 |   11323468 |   11323368 |   11326968 |   11320968 |   11326868 |   11322868 |   11323268 |   11324168
    num misses                       |     547486 |     609599 |     101476 |     608284 |     513260 |         68 |         36 |         36 |         40 |         36 |         36 |         36 |         36 |       2539 |         36 |         36 |         36 |         37 |         37 |     133444 |     119057 |     118233 |     118119 |     117383 |     118251 |     119777 |     122174 |     121571 |     119932 |     119465 |     120124 |     120796 |     121415 |     119519 |     120713 |     121577 |     120821 |     120768 |     121574 |     120267 |     118675 |     119631 |     118680 |     119204 |     122953 |     161365 |     120956 |     122264 |     122174 |     122963 |     120970 |       4550 |     512052 |     512040 |     512022 |     518422 |     512022 |     518422 |     608120 |     519621 |     614421 |     619923 |     672123 |     512024
    miss rate                        |      0.76% |      5.03% |      0.14% |      0.78% |      0.66% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.47% |      0.47% |      0.47% |      0.46% |      0.47% |      0.47% |      0.48% |      0.47% |      0.47% |      0.48% |      0.48% |      0.48% |      0.48% |      0.48% |      0.48% |      0.49% |      0.48% |      0.48% |      0.48% |      0.47% |      0.48% |      0.48% |      0.48% |      0.48% |      0.47% |      0.47% |      0.49% |      0.49% |      0.48% |      0.48% |      0.48% |      0.47% |      0.03% |      4.52% |      4.52% |      4.52% |      4.58% |      4.52% |      4.58% |      5.37% |      4.59% |      5.42% |      5.47% |      5.94% |      4.52%
