                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     | Core 16     | Core 17     | Core 18     | Core 19     | Core 20     | Core 21     | Core 22     | Core 23     | Core 24     | Core 25     | Core 26     | Core 27     | Core 28     | Core 29     | Core 30     | Core 31     | Core 32     | Core 33     | Core 34     | Core 35     | Core 36     | Core 37     | Core 38     | Core 39     | Core 40     | Core 41     | Core 42     | Core 43     | Core 44     | Core 45     | Core 46     | Core 47     | Core 48     | Core 49     | Core 50     | Core 51     | Core 52     | Core 53     | Core 54     | Core 55     | Core 56     | Core 57     | Core 58     | Core 59     | Core 60     | Core 61     | Core 62     | Core 63    
  Instructions                       |    72735672 |    69596440 |    69741405 |    69740869 |    70084194 |    70112841 |    70088478 |    70088915 |    70116798 |    69657622 |    69810954 |    69811419 |    70152172 |    70177997 |    70155708 |    70154282 |    70184547 |    69656875 |    69811159 |    69809641 |    70152440 |    70177889 |    70154102 |    70156830 |    70185114 |    69656165 |    69809845 |    69811911 |    70154571 |    70178337 |    70155963 |    70156736 |    70184916 |    69656231 |    69809390 |    69810555 |    70153902 |    70179387 |    70155403 |    70155920 |    70184225 |    69656713 |    69810915 |    69811501 |    70153462 |    70178713 |    70155618 |    70154752 |    70185772 |    69654903 |    69810331 |    69810960 |    70152323 |    70178285 |    70155825 |    70156286 |    70186279 |    69662497 |    69813856 |    69815690 |    70160555 |    70185637 |    70163301 |    70162922
  Cycles                             |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320 |  2194177320
  IPC                                |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
  Time (ns)                          |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700 |   609493700
  Idle time (ns)                     |    19403499 |    24060641 |    24114626 |    22301196 |    18984349 |    21001549 |    19912767 |    21069265 |    19182575 |    22596485 |    21890626 |    22534132 |    19476503 |    21621747 |    20378704 |    20647513 |    18669453 |    23007284 |    21683119 |    22797576 |    19509621 |    21213255 |    20502314 |    21691481 |    18586494 |    23021575 |    21324900 |    22469775 |    19514745 |    21415249 |    20083784 |    21897813 |    18700180 |    22967445 |    21834195 |    22566344 |    19715851 |    22660124 |    20058733 |    20505179 |    18519027 |    23110026 |    20928810 |    22830721 |    19532876 |    21504442 |    20441811 |    21963710 |    18609114 |    23715473 |    21654370 |    22364536 |    19676377 |    21761860 |    20323092 |    21674467 |    18840788 |    23174589 |    21476412 |    22662912 |    20519581 |    21849075 |    20070258 |    21423370
  Idle time (%)                      |        3.2% |        3.9% |        4.0% |        3.7% |        3.1% |        3.4% |        3.3% |        3.5% |        3.1% |        3.7% |        3.6% |        3.7% |        3.2% |        3.5% |        3.3% |        3.4% |        3.1% |        3.8% |        3.6% |        3.7% |        3.2% |        3.5% |        3.4% |        3.6% |        3.0% |        3.8% |        3.5% |        3.7% |        3.2% |        3.5% |        3.3% |        3.6% |        3.1% |        3.8% |        3.6% |        3.7% |        3.2% |        3.7% |        3.3% |        3.4% |        3.0% |        3.8% |        3.4% |        3.7% |        3.2% |        3.5% |        3.4% |        3.6% |        3.1% |        3.9% |        3.6% |        3.7% |        3.2% |        3.6% |        3.3% |        3.6% |        3.1% |        3.8% |        3.5% |        3.7% |        3.4% |        3.6% |        3.3% |        3.5%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |     3823588 |     3329813 |     3336959 |     3336645 |     3409149 |     3416384 |     3386506 |     3386460 |     3412505 |     3342960 |     3350167 |     3350645 |     3422163 |     3429309 |     3399722 |     3399791 |     3425954 |     3343083 |     3350441 |     3350492 |     3422391 |     3429511 |     3399554 |     3400042 |     3426170 |     3342723 |     3350340 |     3350695 |     3422815 |     3429605 |     3399848 |     3400075 |     3426222 |     3342821 |     3350191 |     3350501 |     3422589 |     3429594 |     3399803 |     3399798 |     3425984 |     3342843 |     3350355 |     3350673 |     3422592 |     3429611 |     3399807 |     3399574 |     3426231 |     3342652 |     3350230 |     3350632 |     3422488 |     3429611 |     3399864 |     3399894 |     3426287 |     3334829 |     3341568 |     3342472 |     3414846 |     3421706 |     3392139 |     3391830
  num incorrect                      |       20691 |       11465 |       10479 |       10743 |       10656 |       10853 |       10278 |       10471 |       11273 |       12152 |       11661 |       11148 |       11583 |       11421 |       11103 |       11066 |       12046 |       12052 |       11388 |       10991 |       11430 |       11358 |       11031 |       10951 |       12002 |       12225 |       11384 |       11135 |       11356 |       11361 |       10940 |       10919 |       12051 |       12266 |       11370 |       11053 |       11467 |       11435 |       10995 |       11051 |       12040 |       12192 |       11492 |       11027 |       11343 |       11354 |       11007 |       11126 |       12102 |       12279 |       11524 |       11101 |       11320 |       11295 |       11101 |       11067 |       12028 |       11230 |       10974 |       10257 |       10568 |       10813 |       10141 |       10396
  misprediction rate                 |       0.54% |       0.34% |       0.31% |       0.32% |       0.31% |       0.32% |       0.30% |       0.31% |       0.33% |       0.36% |       0.35% |       0.33% |       0.34% |       0.33% |       0.33% |       0.32% |       0.35% |       0.36% |       0.34% |       0.33% |       0.33% |       0.33% |       0.32% |       0.32% |       0.35% |       0.36% |       0.34% |       0.33% |       0.33% |       0.33% |       0.32% |       0.32% |       0.35% |       0.37% |       0.34% |       0.33% |       0.33% |       0.33% |       0.32% |       0.32% |       0.35% |       0.36% |       0.34% |       0.33% |       0.33% |       0.33% |       0.32% |       0.33% |       0.35% |       0.37% |       0.34% |       0.33% |       0.33% |       0.33% |       0.33% |       0.32% |       0.35% |       0.34% |       0.33% |       0.31% |       0.31% |       0.32% |       0.30% |       0.31%
