Epoch,Greedy,MFU,TemPo,RoundRobin,Alternation
0,8,8,8,8,8
1,6,6,6,6,6
2,8,8,8,8,8
3,8,8,8,8,8
4,8,8,8,8,8
5,6,8,8,8,8
6,7,8,8,8,8
7,8,8,8,8,8
8,8,8,8,8,8
9,8,8,8,8,8
10,8,8,8,8,8
11,8,8,8,8,8
12,8,8,8,8,8
13,8,8,8,8,8
14,8,8,8,8,8
15,8,8,8,8,8
16,8,7,8,8,8
17,8,7,8,8,8
18,8,7,8,8,8
19,8,7,8,8,8
20,8,7,8,8,8
21,8,7,8,8,8
22,8,7,8,8,4
23,8,7,8,8,8
24,8,7,8,8,4
25,8,7,8,8,8
26,8,7,8,8,4
27,8,8,8,8,8
28,8,7,8,8,4
29,8,7,8,8,8
30,8,7,8,8,8
31,8,7,8,8,8
32,8,7,8,8,8
33,8,7,8,8,8
34,8,7,8,8,8
35,8,8,8,8,8
36,8,7,8,8,6
37,8,8,8,8,8
38,8,7,8,8,4
39,8,7,8,8,8
40,8,8,8,8,4
41,8,8,8,8,8
42,8,7,8,8,4
43,8,8,8,8,8
44,8,7,8,8,6
45,8,8,8,8,8
46,8,7,8,8,8
47,8,8,8,8,8
48,8,7,8,8,8
49,8,8,8,8,8
50,8,8,8,8,6
51,8,7,8,7,8
52,8,8,8,7,6
53,8,7,8,6,8
54,8,8,8,7,4
55,8,8,8,7,8
56,8,7,8,8,4
57,8,8,8,8,8
58,8,7,8,8,6
59,8,8,8,8,8
60,8,7,8,8,8
61,8,8,8,8,8
62,8,7,8,8,8
63,8,8,8,8,8
64,8,7,8,8,6
65,8,8,8,8,8
66,8,7,8,8,4
67,8,7,8,8,8
68,8,8,8,8,4
69,8,7,8,8,8
70,8,8,8,8,4
71,8,7,8,8,8
72,8,8,8,8,4
73,8,8,8,8,8
74,8,8,8,8,8
75,8,8,8,8,8
76,8,8,8,8,8
77,8,8,8,8,8
78,8,8,8,7,8
79,8,7,8,8,8
80,8,8,8,7,4
81,8,7,8,8,8
82,8,7,8,8,4
83,8,7,8,8,8
84,8,7,8,8,4
85,8,7,8,8,8
86,8,7,8,8,4
87,8,7,8,8,8
88,8,7,8,8,4
89,8,7,8,8,8
90,8,7,8,8,6
91,8,7,7,8,8
92,8,7,8,8,8
93,7,6,8,8,8
94,7,8,8,8,8
95,7,7,8,8,8
96,8,6,8,8,8
97,8,7,8,8,8
98,8,7,8,8,4
99,8,7,7,8,8
100,8,7,8,8,4
101,8,7,8,8,8
102,7,6,8,8,4
103,6,7,8,8,8
104,6,7,7,8,4
105,7,7,8,8,8
106,8,7,8,8,4
107,8,7,8,8,8
108,8,5,8,8,6
109,8,4,7,8,8
110,8,4,8,8,6
111,8,5,8,8,8
112,8,6,8,8,8
113,8,5,7,8,8
114,7,6,6,8,8
115,5,7,6,8,8
116,4,6,8,8,6
117,4,5,8,8,8
118,5,6,6,8,6
119,5,5,5,8,8
120,5,5,6,8,4
121,5,6,6,8,8
122,5,5,5,8,6
123,5,4,5,8,8
124,5,5,4,8,6
125,5,5,4,8,8
126,5,6,4,8,8
127,5,5,4,8,8
128,5,5,4,8,8
129,4,5,4,8,8
130,4,5,4,8,8
131,4,5,4,8,8
132,4,3,4,8,4
133,4,3,4,8,8
134,4,4,4,8,4
135,4,4,4,8,8
136,3,4,4,8,4
137,3,4,4,8,8
138,3,4,4,8,8
139,3,4,4,8,8
140,3,4,4,8,8
141,3,4,3,8,8
142,3,4,3,8,8
143,3,4,3,8,8
144,3,4,3,8,8
145,3,4,3,8,8
146,3,4,3,8,8
147,2,4,3,8,8
148,2,4,3,8,8
149,2,4,2,8,8
150,2,4,2,8,8
151,2,4,2,8,8
152,2,4,2,8,8
153,1,4,2,8,8
154,1,4,2,8,8
155,1,4,2,8,8
156,1,4,2,8,8
157,1,4,1,8,8
158,1,4,,8,8
159,1,3,,8,8
160,1,3,,8,8
161,1,3,,8,8
162,1,3,,8,8
163,1,3,,8,8
164,1,2,,8,8
165,1,2,,8,8
166,1,2,,8,8
167,1,2,,8,8
168,1,2,,8,8
169,1,2,,8,8
170,1,1,,8,8
171,1,1,,8,8
172,,1,,8,8
173,,1,,8,8
174,,1,,8,8
175,,1,,8,8
176,,1,,8,8
177,,1,,8,8
178,,1,,8,8
179,,,,8,8
180,,,,8,8
181,,,,8,8
182,,,,8,8
183,,,,8,8
184,,,,8,8
185,,,,8,8
186,,,,8,8
187,,,,8,8
188,,,,8,8
189,,,,8,8
190,,,,8,8
191,,,,8,8
192,,,,8,8
193,,,,8,8
194,,,,8,8
195,,,,8,8
196,,,,8,8
197,,,,8,8
198,,,,8,8
199,,,,8,8
200,,,,8,8
201,,,,8,8
202,,,,8,8
203,,,,8,8
204,,,,8,8
205,,,,8,8
206,,,,8,8
207,,,,8,8
208,,,,8,8
209,,,,8,
210,,,,8,
211,,,,8,
212,,,,8,
213,,,,8,
214,,,,8,
215,,,,8,
216,,,,8,
217,,,,8,
218,,,,8,
219,,,,8,
220,,,,8,
221,,,,8,
222,,,,8,
223,,,,8,
224,,,,8,
225,,,,8,
226,,,,8,
227,,,,8,
