Epoch,Greedy,MFU,TemPo,RoundRobin,Alternation
0,70.07,70.07,70.07,70.07,70.07
1,70.08,70.07,70.08,71.64,71.26
2,71.87,72.21,72.18,71.18,71.32
3,71.7,71.88,72.1,72.9,72.55
4,72.79,72.72,73.6,72.45,72.59
5,72.54,73.08,74.53,74.08,73.78
6,72.67,74.84,74.42,73.57,73.75
7,72.86,75.5,75.44,75.18,74.85
8,74.15,75.75,75.23,74.59,74.7
9,74.9,76.82,76.18,76.16,75.75
10,75.48,76.88,75.85,75.51,75.59
11,75.86,78.61,76.81,76.94,76.6
12,76.23,78.69,76.6,76.22,76.4
13,76.56,79.14,77.56,77.64,77.35
14,75.76,79.45,77.26,76.88,77.07
15,76.61,79.93,78.09,78.25,77.96
16,76.13,79.67,77.76,77.44,77.68
17,77.12,79.42,78.58,78.77,78.47
18,78.1,79.26,78.2,77.91,78.14
19,78.98,79.42,79.0,79.23,79.0
20,79.82,79.0,78.62,78.31,78.63
21,79.21,78.74,79.38,78.61,79.47
22,78.93,78.53,78.94,78.53,79.06
23,78.68,79.08,78.32,78.29,78.47
24,78.96,78.93,78.33,79.55,78.41
25,79.19,78.75,77.9,78.69,77.87
26,78.32,78.58,78.3,78.92,77.85
27,78.43,78.03,78.07,78.84,77.35
28,78.5,77.67,78.42,78.37,77.38
29,78.57,77.47,78.55,78.68,76.93
30,78.61,77.76,78.56,78.68,77.0
31,78.71,77.21,78.27,78.3,77.93
32,79.34,76.73,79.19,78.69,77.67
33,78.89,76.47,78.29,78.75,78.57
34,78.9,76.73,78.63,78.4,78.28
35,78.91,76.44,78.82,78.8,79.13
36,78.88,77.07,79.16,78.91,78.78
37,79.18,77.04,79.08,78.62,79.3
38,78.85,76.99,78.57,79.06,78.86
39,78.89,76.97,78.65,79.18,78.25
40,78.92,76.58,78.6,78.88,78.15
41,78.96,77.04,78.2,79.3,77.59
42,78.99,77.3,78.58,79.42,77.58
43,78.99,77.74,78.59,79.1,77.1
44,79.02,77.92,78.94,79.5,77.15
45,78.33,77.89,78.89,79.59,78.05
46,78.78,77.8,78.47,79.25,77.78
47,79.25,78.08,78.51,79.69,78.67
48,78.33,78.56,78.48,79.78,78.35
49,77.96,79.07,78.17,79.46,79.19
50,78.49,79.54,78.42,79.88,78.84
51,79.03,79.22,78.55,79.85,78.81
52,78.22,78.85,78.9,79.9,78.42
53,78.1,78.48,78.86,79.66,79.17
54,78.85,78.14,78.47,79.27,78.7
55,79.47,78.4,78.54,78.69,78.07
56,78.64,78.88,78.52,78.7,77.99
