Epoch,MFU,TemPo,Alternation,Greedy,RoundRobin
0,16,16,16,16,16
1,12,12,12,12,12
2,16,16,16,16,16
3,16,16,16,16,16
4,16,16,16,16,16
5,16,16,16,12,16
6,16,16,16,14,16
7,16,16,16,16,16
8,16,16,16,16,16
9,16,16,16,16,16
10,16,16,16,16,16
11,16,16,16,16,16
12,16,16,16,16,16
13,16,16,16,16,16
14,16,16,16,16,16
15,16,16,16,16,16
16,14,16,16,16,16
17,14,16,16,16,16
18,14,16,16,16,16
19,14,16,16,16,16
20,14,16,16,16,16
21,14,16,16,16,16
22,14,16,8,16,16
23,14,16,16,16,16
24,14,16,8,16,16
25,14,16,16,16,16
26,14,16,8,16,16
27,16,16,16,16,16
28,14,16,8,16,16
29,14,16,16,16,16
30,14,16,16,16,16
31,14,16,16,16,16
32,14,16,16,16,16
33,14,16,16,16,16
34,14,16,16,16,16
35,16,16,16,16,16
36,14,16,12,16,16
37,16,16,16,16,16
38,14,16,8,16,16
39,14,16,16,16,16
40,16,16,8,16,16
41,16,16,16,16,16
42,14,16,8,16,16
43,16,16,16,16,16
44,14,16,12,16,16
45,16,16,16,16,16
46,14,16,16,16,16
47,16,16,16,16,16
48,14,16,16,16,16
49,16,16,16,16,16
50,16,16,12,16,16
51,14,16,16,16,14
52,16,16,12,16,14
53,14,16,16,16,12
54,16,16,8,16,14
55,16,16,16,16,14
56,14,16,8,16,16
57,16,16,16,16,16
58,14,16,12,16,16
59,16,16,16,16,16
60,14,16,16,16,16
61,16,16,16,16,16
62,14,16,16,16,16
63,16,16,16,16,16
64,14,16,12,16,16
65,16,16,16,16,16
66,14,16,8,16,16
67,14,16,16,16,16
68,16,16,8,16,16
69,14,16,16,16,16
70,16,16,8,16,16
71,14,16,16,16,16
72,16,16,8,16,16
73,16,16,16,16,16
74,16,16,16,16,16
75,16,16,16,16,16
76,16,16,16,16,16
77,16,16,16,16,16
78,16,16,16,16,14
79,14,16,16,16,16
80,16,16,8,16,14
81,14,16,16,16,16
82,14,16,8,16,16
83,14,16,16,16,16
84,14,16,8,16,16
85,14,16,16,16,16
86,14,16,8,16,16
87,14,16,16,16,16
88,14,16,8,16,16
89,14,16,16,16,16
90,14,16,12,16,16
91,14,14,16,16,16
92,14,16,16,16,16
93,12,16,16,14,16
94,16,16,16,14,16
95,14,16,16,14,16
96,12,16,16,16,16
97,14,16,16,16,16
98,14,16,8,16,16
99,14,14,16,16,16
100,14,16,8,16,16
101,14,16,16,16,16
102,12,16,8,14,16
103,14,16,16,12,16
104,14,14,8,12,16
105,14,16,16,14,16
106,14,16,8,16,16
107,14,16,16,16,16
108,10,16,12,16,16
109,8,14,16,16,16
110,8,16,12,16,16
111,10,16,16,16,16
112,12,16,16,16,16
113,10,14,16,16,16
114,12,12,16,14,16
115,14,12,16,10,16
116,12,16,12,8,16
117,10,16,16,8,16
118,12,12,12,10,16
119,10,10,16,10,16
120,10,12,8,10,16
121,12,12,16,10,16
122,10,10,12,10,16
123,8,10,16,10,16
124,10,8,12,10,16
125,10,8,16,10,16
126,12,8,16,10,16
127,10,8,16,10,16
128,10,8,16,10,16
129,10,8,16,8,16
130,10,8,16,8,16
131,10,8,16,8,16
132,6,8,8,8,16
133,6,8,16,8,16
134,8,8,8,8,16
135,8,8,16,8,16
136,8,8,8,6,16
137,8,8,16,6,16
138,8,8,16,6,16
139,8,8,16,6,16
140,8,8,16,6,16
141,8,6,16,6,16
142,8,6,16,6,16
143,8,6,16,6,16
144,8,6,16,6,16
145,8,6,16,6,16
146,8,6,16,6,16
147,8,6,16,4,16
148,8,6,16,4,16
149,8,4,16,4,16
150,8,4,16,4,16
151,8,4,16,4,16
152,8,4,16,4,16
153,8,4,16,2,16
154,8,4,16,2,16
155,8,4,16,2,16
156,8,4,16,2,16
157,8,2,16,2,16
158,8,,16,2,16
159,6,,16,2,16
160,6,,16,2,16
161,6,,16,2,16
162,6,,16,2,16
163,6,,16,2,16
164,4,,16,2,16
165,4,,16,2,16
166,4,,16,2,16
167,4,,16,2,16
168,4,,16,2,16
169,4,,16,2,16
170,2,,16,2,16
171,2,,16,2,16
172,2,,16,,16
173,2,,16,,16
174,2,,16,,16
175,2,,16,,16
176,2,,16,,16
177,2,,16,,16
178,2,,16,,16
179,,,16,,16
180,,,16,,16
181,,,16,,16
182,,,16,,16
183,,,16,,16
184,,,16,,16
185,,,16,,16
186,,,16,,16
187,,,16,,16
188,,,16,,16
189,,,16,,16
190,,,16,,16
191,,,16,,16
192,,,16,,16
193,,,16,,16
194,,,16,,16
195,,,16,,16
196,,,16,,16
197,,,16,,16
198,,,16,,16
199,,,16,,16
200,,,16,,16
201,,,16,,16
202,,,16,,16
203,,,16,,16
204,,,16,,16
205,,,16,,16
206,,,16,,16
207,,,16,,16
208,,,16,,16
209,,,,,16
210,,,,,16
211,,,,,16
212,,,,,16
213,,,,,16
214,,,,,16
215,,,,,16
216,,,,,16
217,,,,,16
218,,,,,16
219,,,,,16
220,,,,,16
221,,,,,16
222,,,,,16
223,,,,,16
224,,,,,16
225,,,,,16
226,,,,,16
227,,,,,16
