Epoch,Alternation,MFU,RoundRobin,TemPo,Greedy
0,70.07,70.07,70.07,70.07,70.07
1,70.02,69.67,70.13,69.68,70.02
2,69.6,69.83,69.56,69.84,69.82
3,69.47,69.69,69.56,69.69,69.58
4,69.02,69.59,68.97,69.59,69.33
5,68.9,69.45,68.98,69.45,69.08
6,68.48,69.27,68.43,69.27,68.85
7,68.39,69.08,68.47,69.08,68.64
8,68.01,68.9,67.95,68.9,68.45
9,67.96,68.72,68.04,68.72,68.26
10,67.61,68.56,67.56,68.56,68.1
11,67.59,68.42,67.67,68.42,67.95
12,67.28,68.28,67.22,68.28,67.81
13,67.29,68.15,67.36,68.16,67.68
14,67.0,68.04,66.94,68.04,67.56
15,67.03,67.94,67.1,67.94,67.45
16,66.76,67.85,66.7,67.84,67.44
17,66.8,67.75,66.87,67.75,67.4
18,66.55,67.66,66.49,67.67,67.36
19,66.61,67.59,66.68,67.59,67.32
20,66.37,67.51,66.31,67.51,67.28
21,66.45,67.45,66.51,67.45,67.24
22,66.22,67.4,66.15,67.4,67.21
23,66.31,67.36,66.37,67.36,67.17
24,66.1,67.32,66.03,67.31,67.14
25,66.19,67.28,66.25,67.27,67.11
26,65.99,67.24,65.92,67.24,67.08
27,66.09,67.21,66.15,67.21,67.06
28,65.89,67.27,65.82,67.27,66.73
29,66.0,67.17,66.06,67.17,66.76
30,65.82,66.77,65.75,66.77,66.75
31,65.94,66.69,66.0,66.68,66.73
32,65.75,66.66,65.69,66.66,66.7
33,65.88,66.34,65.94,66.34,66.67
34,65.7,66.12,65.64,66.12,66.64
35,65.83,65.94,65.89,65.94,66.62
36,65.66,65.78,65.59,65.78,66.6
37,65.79,65.63,65.85,65.63,66.58
38,65.62,65.5,65.55,65.5,66.56
39,65.76,65.39,65.82,65.39,66.54
40,65.59,65.31,65.53,65.31,66.52
41,65.74,65.52,65.79,65.52,66.49
42,65.57,65.66,65.5,65.66,66.42
43,65.71,65.79,65.77,65.79,66.42
44,65.55,65.89,65.48,65.89,66.45
45,65.69,65.98,65.75,65.98,66.49
46,65.53,66.06,65.46,66.06,66.52
47,65.67,66.13,65.73,66.13,66.55
48,65.51,66.2,65.44,66.2,66.59
49,65.65,66.28,65.71,66.28,66.65
50,65.5,66.36,65.43,66.36,66.7
51,65.64,66.43,65.7,66.43,66.74
52,65.48,66.49,65.42,66.5,66.68
53,65.63,66.55,65.69,66.55,66.58
54,65.48,66.51,65.41,66.51,66.46
55,65.62,66.42,65.68,66.42,66.34
56,65.47,66.31,65.4,66.31,66.22
57,65.62,66.2,65.68,66.2,66.11
58,65.46,66.1,65.4,66.09,66.01
59,65.61,66.0,65.67,66.0,65.92
60,65.46,65.9,65.39,65.9,65.83
61,65.61,65.82,65.67,65.82,65.75
62,65.45,65.73,65.39,65.73,65.67
63,65.61,65.31,65.67,65.31,65.6
64,65.45,64.99,65.39,64.99,65.54
65,65.6,64.69,65.66,64.69,65.48
66,65.45,64.42,65.38,64.42,65.42
67,65.6,64.17,65.66,64.17,65.37
68,65.45,63.94,65.38,63.94,65.32
69,65.6,63.73,65.66,63.73,64.93
70,65.45,63.54,65.38,63.54,64.64
71,65.6,,65.66,,64.33
72,65.45,,65.38,,
73,65.6,,65.66,,
74,65.45,,65.38,,
75,65.6,,65.66,,
76,65.45,,65.38,,
77,65.6,,65.66,,
78,65.45,,65.38,,
79,65.6,,65.66,,
80,65.45,,65.38,,
81,65.6,,65.66,,
82,65.45,,65.38,,
83,65.6,,65.66,,
84,65.45,,65.38,,
85,65.6,,65.66,,
86,65.45,,65.38,,
87,65.61,,65.66,,
88,65.45,,65.38,,
89,65.6,,65.66,,
90,65.45,,65.39,,
91,65.6,,65.66,,
92,65.45,,65.39,,
93,65.61,,65.67,,
94,65.45,,65.39,,
95,65.61,,65.67,,
96,65.46,,65.39,,
97,65.61,,65.67,,
98,65.46,,65.39,,
99,65.61,,65.67,,
100,65.46,,65.39,,
101,65.61,,65.67,,
102,65.46,,65.39,,
103,65.61,,65.67,,
104,65.46,,65.39,,
105,65.61,,65.67,,
106,65.46,,65.39,,
107,65.61,,65.67,,
108,65.46,,65.39,,
109,65.61,,,,
110,65.46,,,,
111,65.62,,,,
112,65.46,,,,
113,65.62,,,,
114,65.46,,,,
