Epoch,Alternation,MFU,RoundRobin,TemPo,Greedy
0,16,16,16,16,16
1,16,16,16,16,16
2,16,16,16,16,16
3,16,16,16,16,16
4,16,16,16,16,16
5,16,16,16,16,16
6,16,16,16,16,16
7,16,16,16,16,16
8,16,16,16,16,16
9,16,16,16,16,16
10,16,16,16,16,16
11,16,16,16,16,16
12,16,16,16,16,16
13,16,16,16,16,16
14,16,16,16,16,16
15,16,16,16,16,16
16,16,16,16,16,16
17,16,16,16,16,16
18,16,16,16,16,16
19,16,16,16,16,16
20,16,16,16,16,16
21,16,16,16,16,16
22,16,16,16,16,16
23,16,16,16,16,16
24,16,16,16,16,16
25,16,16,16,16,16
26,16,16,16,16,16
27,16,16,16,16,16
28,16,16,16,16,16
29,16,16,16,16,16
30,16,16,16,16,16
31,16,16,16,16,16
32,16,16,16,16,16
33,16,16,16,16,16
34,16,16,16,16,16
35,16,16,16,16,16
36,16,16,16,16,16
37,16,16,16,16,16
38,16,16,16,16,16
39,16,16,16,16,16
40,16,14,16,14,16
41,16,12,16,12,12
42,16,12,16,12,12
43,16,12,16,12,12
44,16,12,16,12,12
45,16,12,16,12,12
46,16,12,16,12,12
47,16,12,16,12,12
48,16,12,16,12,12
49,16,12,16,12,12
50,16,12,16,12,12
51,16,12,16,12,10
52,16,12,16,12,10
53,16,10,16,10,10
54,16,10,16,10,10
55,16,10,16,10,10
56,16,10,16,10,10
57,16,10,16,10,10
58,16,10,16,10,10
59,16,10,16,10,10
60,16,10,16,10,10
61,16,10,16,10,10
62,16,8,16,8,10
63,16,8,16,8,10
64,16,8,16,8,10
65,16,8,16,8,10
66,16,8,16,8,10
67,16,8,16,8,10
68,16,8,16,8,8
69,16,8,16,8,8
70,16,0,16,0,2
71,16,,16,,0
72,16,,16,,
73,16,,16,,
74,16,,16,,
75,16,,16,,
76,16,,16,,
77,16,,16,,
78,16,,16,,
79,16,,16,,
80,16,,16,,
81,16,,16,,
82,16,,16,,
83,16,,16,,
84,16,,16,,
85,16,,16,,
86,16,,16,,
87,16,,16,,
88,16,,16,,
89,16,,16,,
90,16,,16,,
91,16,,16,,
92,16,,16,,
93,16,,16,,
94,16,,16,,
95,16,,16,,
96,16,,16,,
97,16,,16,,
98,16,,16,,
99,16,,16,,
100,16,,16,,
101,16,,16,,
102,16,,16,,
103,16,,16,,
104,16,,16,,
105,16,,16,,
106,16,,16,,
107,16,,16,,
108,16,,16,,
109,16,,,,
110,16,,,,
111,16,,,,
112,16,,,,
113,16,,,,
114,16,,,,
