Epoch,MFU,Greedy,TemPo,RoundRobin,Alternation
0,70.07,70.07,70.07,70.07,70.07
1,69.68,69.68,69.68,71.63,70.99
2,71.25,69.31,71.25,70.83,70.86
3,71.73,68.94,71.52,70.78,71.7
4,72.67,68.58,72.63,70.11,71.46
5,73.68,68.25,73.59,70.05,72.19
6,72.56,67.93,74.44,69.41,71.92
7,73.66,67.65,73.25,69.39,72.63
8,74.26,67.38,74.38,68.8,72.34
9,75.18,67.13,73.18,69.47,73.05
10,76.03,66.91,72.86,68.83,72.68
11,76.86,66.71,73.91,68.89,73.37
12,77.52,66.52,74.57,68.35,73.0
13,78.21,66.35,73.48,68.42,73.64
14,78.77,66.19,73.3,67.92,73.27
15,79.34,66.04,72.44,68.01,73.9
16,78.45,65.9,73.43,67.54,73.51
17,77.83,65.78,74.29,67.66,74.15
18,77.35,65.66,73.15,67.22,73.74
19,77.93,65.56,72.99,67.36,74.35
20,78.28,65.46,72.18,66.94,73.91
21,77.37,65.37,73.3,67.1,74.51
22,77.24,65.28,73.85,66.7,74.09
23,77.96,65.2,73.42,66.88,74.68
24,78.2,65.13,73.89,66.5,73.71
25,78.78,65.07,74.72,66.7,74.26
26,78.1,65.01,73.5,66.33,73.58
27,78.74,64.95,73.57,68.06,74.13
28,79.24,65.54,72.38,67.46,73.71
29,77.64,66.05,73.49,67.61,74.31
30,78.01,67.5,74.41,67.18,73.36
31,78.58,67.53,73.25,67.33,73.89
32,77.12,67.89,72.94,66.92,73.46
33,77.97,69.22,72.03,67.09,74.07
34,78.44,70.45,73.26,66.69,73.68
35,76.95,71.54,74.1,66.88,73.93
36,77.85,72.52,72.94,66.5,73.65
37,78.44,73.53,74.13,66.7,73.72
38,78.92,74.4,72.95,66.34,73.16
39,77.38,75.18,73.04,66.56,73.81
40,76.96,75.92,72.01,66.21,73.43
41,76.92,76.6,73.1,66.43,73.5
42,75.78,77.19,73.39,66.09,73.26
43,76.27,77.78,74.11,66.32,73.88
44,76.94,78.26,72.99,65.99,73.51
45,75.55,78.66,73.92,66.23,74.16
46,76.47,79.05,74.2,65.91,73.78
47,76.53,77.99,73.5,66.16,74.44
48,77.26,77.27,73.71,65.84,74.02
49,75.88,76.6,72.8,66.09,73.67
50,76.89,75.99,73.19,65.78,73.5
51,77.62,75.45,73.9,66.04,74.15
52,78.23,75.61,73.51,65.73,73.78
53,77.51,76.35,74.72,65.99,74.39
54,78.55,77.0,74.86,65.69,74.0
55,79.12,77.57,75.57,65.95,74.6
56,78.29,78.06,75.62,65.65,74.2
57,77.75,78.51,75.77,65.91,74.82
58,77.4,79.0,76.07,65.62,74.38
59,76.89,79.28,76.38,65.88,74.97
60,77.86,78.25,76.76,65.58,74.53
61,78.43,78.91,77.28,65.85,75.12
62,77.69,79.38,77.84,65.56,74.67
63,78.61,78.44,78.43,65.83,74.31
64,79.15,78.44,78.93,65.54,74.09
65,78.25,78.86,78.66,65.81,74.72
66,78.07,79.24,78.2,65.53,74.26
67,78.7,78.27,78.77,65.8,74.46
68,79.27,78.26,78.77,65.51,73.61
69,78.54,78.72,78.55,65.78,74.21
70,78.08,79.1,78.48,65.5,73.81
71,77.92,79.42,78.92,65.77,74.43
72,78.37,78.52,78.95,65.49,74.03
73,78.09,79.05,78.1,65.76,74.67
74,77.75,78.96,77.51,65.48,74.25
75,77.39,79.39,78.24,65.75,74.86
76,77.09,78.4,78.79,65.47,74.42
77,76.82,78.38,78.53,65.75,75.05
78,76.64,78.85,78.89,65.46,74.61
79,76.49,79.34,78.66,65.74,75.23
80,76.37,78.47,79.08,65.46,74.75
81,76.25,79.01,79.06,65.74,75.35
82,76.16,78.8,78.63,65.46,74.88
83,76.08,79.21,78.9,65.73,75.47
84,75.98,78.23,78.27,65.45,74.97
85,75.9,77.79,76.68,65.73,75.55
86,75.54,78.39,77.45,65.45,75.09
87,75.31,78.96,77.83,65.73,75.63
88,,79.34,77.34,65.45,75.1
89,,78.84,76.79,65.73,75.66
90,,79.37,,65.45,75.18
91,,79.41,,65.73,75.73
92,,78.54,,65.44,75.26
93,,79.1,,65.72,74.85
94,,78.54,,65.44,74.62
95,,78.85,,65.72,75.21
96,,78.53,,65.44,74.58
97,,78.44,,65.72,74.23
98,,78.94,,65.44,74.05
99,,79.37,,65.72,74.68
100,,78.88,,65.44,74.28
101,,78.98,,65.72,74.9
102,,79.38,,65.44,74.49
103,,78.36,,65.72,75.02
104,,77.68,,65.44,74.57
105,,77.68,,65.72,75.18
106,,77.36,,65.44,74.76
107,,77.06,,65.72,75.31
108,,77.15,,65.44,74.85
109,,77.65,,65.72,75.44
110,,78.11,,65.44,75.01
111,,78.48,,65.72,75.61
112,,78.1,,65.44,75.14
113,,77.71,,65.72,75.71
114,,77.34,,65.44,75.24
115,,77.05,,65.72,75.81
116,,76.79,,65.44,75.27
117,,76.59,,65.72,75.29
118,,76.39,,65.44,74.98
119,,76.24,,65.72,75.57
120,,76.12,,65.44,75.08
121,,76.01,,65.72,74.71
122,,75.92,,65.44,74.5
123,,75.84,,65.72,75.09
124,,75.75,,65.44,74.7
125,,75.68,,65.72,75.31
126,,75.58,,65.44,74.89
127,,75.46,,65.72,75.48
128,,75.23,,65.44,75.05
129,,74.94,,65.72,75.66
130,,74.62,,65.44,75.2
131,,,,65.72,75.79
132,,,,65.44,74.8
133,,,,65.72,75.35
134,,,,65.44,74.36
135,,,,65.72,73.96
136,,,,65.44,73.57
137,,,,,73.54
