Epoch,TemPo,MFU,RoundRobin,Alternation,Greedy
0,4,4,4,4,4
1,4,5,4,4,5
2,6,6,4,4,5
3,6,5,4,4,5
4,6,5,4,4,5
5,6,6,4,4,5
6,6,4,4,4,5
7,6,5,4,4,5
8,6,4,4,4,5
9,6,4,4,4,5
10,6,4,4,4,5
11,6,5,4,4,5
12,6,4,4,4,5
13,6,5,4,4,5
14,6,6,4,4,5
15,6,6,4,4,5
16,6,5,4,4,5
17,6,6,4,4,5
18,6,5,4,4,5
19,6,5,4,4,5
20,6,5,4,4,5
21,6,5,4,4,5
22,6,5,4,4,5
23,6,5,4,4,5
24,6,5,4,4,5
25,6,6,4,4,5
26,6,5,4,4,5
27,6,5,4,4,5
28,6,6,4,4,5
29,6,5,4,4,5
30,6,6,4,4,5
31,6,5,4,4,5
32,6,6,4,4,5
33,6,5,4,4,5
34,6,5,4,4,5
35,6,4,4,4,5
36,6,4,5,4,4
37,6,4,5,4,5
38,6,4,5,4,5
39,6,5,5,4,5
40,6,6,4,4,6
41,6,6,5,4,5
42,6,5,5,4,5
43,6,5,5,4,4
44,6,4,5,4,4
45,6,5,5,4,4
46,6,4,5,4,4
47,6,5,5,4,4
48,5,4,5,4,4
49,5,5,4,4,4
50,5,5,4,4,4
51,5,4,4,4,4
52,5,5,4,4,4
53,5,4,4,4,4
54,5,5,4,3,5
55,5,4,4,4,5
56,5,4,4,4,5
57,5,4,4,4,4
58,5,4,4,3,5
59,5,5,5,4,5
60,6,4,5,4,5
61,6,5,4,4,5
62,6,4,5,4,5
63,6,4,5,4,5
64,6,5,5,4,6
65,6,4,5,4,5
66,6,5,5,4,5
67,6,5,5,4,5
68,6,4,5,4,5
69,6,5,5,4,5
70,6,4,5,4,5
71,6,5,5,4,5
72,5,4,5,4,5
73,5,5,5,4,5
74,4,4,5,4,5
75,4,5,5,4,5
76,5,4,5,4,5
77,5,5,5,4,5
78,6,5,5,4,5
79,5,6,5,4,5
80,5,5,5,4,5
81,4,6,5,4,5
82,5,5,5,4,5
83,5,6,5,4,5
84,4,6,5,4,5
85,3,6,5,4,5
86,5,6,5,4,5
87,4,6,5,4,5
88,4,6,5,4,5
89,3,6,5,4,5
90,4,7,5,4,5
91,4,6,5,4,5
92,4,6,5,4,4
93,4,6,5,4,5
94,4,6,5,4,5
95,4,6,4,4,5
96,4,5,5,4,5
97,4,5,4,4,5
98,5,5,5,4,5
99,5,5,5,4,4
100,4,5,4,4,5
101,5,5,5,4,5
102,4,5,4,4,5
103,5,5,4,4,5
104,5,5,4,4,5
105,4,4,4,4,4
106,4,4,4,4,4
107,3,4,4,4,4
108,3,4,4,4,4
109,4,4,4,4,4
110,4,4,4,4,3
111,3,4,4,4,3
112,3,4,4,4,3
113,3,4,4,4,4
114,3,4,4,4,4
115,3,4,4,4,4
116,3,4,4,4,4
117,3,4,4,4,3
118,3,4,4,4,4
119,3,4,5,4,4
120,2,4,5,2,3
121,2,4,5,4,3
122,2,4,5,2,3
123,2,3,5,4,3
124,2,3,5,4,3
125,2,2,5,4,3
126,2,2,4,4,3
127,2,2,4,4,2
128,2,2,4,4,2
129,2,1,4,4,2
130,1,1,4,4,2
131,1,,4,4,2
132,,,4,4,2
133,,,4,4,2
134,,,4,4,2
135,,,4,4,2
136,,,4,4,1
137,,,4,4,1
138,,,4,4,1
139,,,4,4,1
140,,,4,4,1
141,,,4,4,1
142,,,4,4,1
143,,,4,4,1
144,,,4,4,1
145,,,4,4,1
146,,,4,4,1
147,,,4,4,
148,,,4,4,
149,,,4,4,
150,,,4,4,
151,,,4,4,
152,,,4,4,
153,,,4,4,
154,,,4,4,
155,,,4,4,
156,,,4,4,
157,,,4,4,
158,,,4,4,
159,,,4,,
160,,,4,,
161,,,4,,
