Epoch,TemPo,MFU,RoundRobin,Alternation,Greedy
0,70.07,70.07,70.07,70.07,70.07
1,69.97,69.96,71.63,71.27,69.96
2,71.83,71.82,71.11,71.26,71.54
3,71.91,72.37,72.72,72.41,71.08
4,73.1,73.41,72.14,72.33,72.13
5,74.35,73.83,73.69,73.35,71.86
6,73.76,74.81,73.03,73.2,72.84
7,75.4,75.49,74.51,74.16,73.86
8,74.32,76.12,73.79,73.94,74.7
9,75.79,76.82,75.24,74.88,75.43
10,74.78,77.4,74.47,74.64,75.34
11,76.04,78.02,75.78,75.57,75.17
12,75.17,78.89,74.98,75.27,75.01
13,76.25,79.53,76.34,76.14,74.94
14,75.45,78.9,75.51,75.78,74.79
15,76.3,79.75,75.36,76.56,74.71
16,75.69,79.39,74.72,76.18,74.68
17,76.46,79.4,76.07,77.0,74.67
18,75.9,79.38,75.25,76.38,74.79
19,76.66,79.42,76.59,77.15,74.91
20,76.06,79.44,75.73,76.72,74.67
21,76.77,79.45,77.0,77.5,74.72
22,76.14,79.48,76.11,77.05,74.75
23,76.92,79.48,77.42,77.78,74.79
24,76.31,79.52,76.51,77.32,74.91
25,77.03,79.52,77.78,78.06,75.04
26,76.49,79.54,76.84,77.58,75.15
27,77.04,79.56,78.09,78.29,75.28
28,76.44,79.56,77.14,77.81,75.35
29,77.12,79.57,78.41,78.52,75.42
30,76.47,79.56,77.46,78.03,75.48
31,77.19,79.57,78.66,78.18,75.51
32,76.59,79.57,77.67,77.72,75.59
33,77.25,79.58,78.85,78.34,75.6
34,76.67,79.58,77.86,77.82,75.64
35,77.32,79.6,79.06,78.55,75.67
36,76.79,79.64,78.05,78.06,75.85
37,77.42,79.71,79.23,78.74,76.28
38,76.86,79.78,79.03,78.25,76.35
39,76.8,79.86,78.71,78.95,76.21
40,76.31,79.96,78.49,78.44,77.44
41,76.97,79.26,77.73,79.09,78.58
42,76.43,79.02,78.39,78.56,79.22
43,77.1,78.86,78.56,78.84,79.69
44,76.58,78.73,78.61,78.25,79.32
45,77.23,78.3,78.47,78.81,79.27
46,76.56,78.48,78.79,78.19,79.29
47,76.0,78.67,78.25,78.79,79.34
48,75.09,78.88,78.85,78.2,79.4
49,76.52,79.07,77.56,78.83,79.47
50,75.41,79.24,78.56,78.27,79.53
51,76.77,78.8,77.47,78.9,79.62
52,75.7,78.68,78.61,78.35,79.72
53,77.16,79.94,77.58,79.03,79.81
54,76.05,79.66,78.78,77.94,79.89
55,76.48,79.68,77.77,78.45,79.23
56,75.38,79.69,78.98,77.87,78.95
57,76.85,78.98,77.97,78.56,79.83
58,75.74,79.11,79.18,77.52,79.3
59,75.49,78.88,78.17,77.93,79.15
60,74.44,78.97,78.76,77.42,79.01
61,75.92,79.07,78.96,78.08,78.53
62,74.82,79.19,78.17,77.58,78.33
63,76.32,79.26,78.61,78.16,78.37
64,75.19,79.33,77.62,77.63,78.42
65,76.44,79.38,78.39,78.31,79.38
66,75.33,79.38,77.49,77.82,79.09
67,76.78,79.49,78.29,78.55,79.12
68,75.6,79.45,77.57,78.04,79.17
69,76.9,79.45,77.99,78.66,79.23
70,75.73,79.46,77.64,78.18,79.33
71,77.15,78.72,78.13,78.39,79.41
72,75.93,78.21,77.8,77.94,79.53
73,77.29,78.3,78.26,78.63,79.64
74,77.72,77.99,77.95,78.15,79.72
75,77.5,78.13,78.41,78.86,79.83
76,78.11,78.26,78.1,78.36,79.92
77,78.55,78.37,78.56,79.01,79.37
78,78.27,78.48,78.25,78.48,78.94
79,79.05,78.64,78.73,79.07,78.58
80,79.06,78.84,78.43,78.49,78.66
81,78.74,78.29,78.91,78.7,78.62
82,78.77,78.45,78.28,78.12,78.65
83,79.1,78.67,78.67,78.73,78.75
84,79.15,78.89,78.26,78.11,79.39
85,78.79,79.12,78.18,78.74,78.94
86,78.77,79.2,78.04,78.15,78.79
87,78.88,79.35,78.53,78.79,78.69
88,79.02,79.43,78.23,78.24,78.63
89,79.15,79.52,78.67,77.66,78.69
90,79.3,79.51,78.4,77.24,78.55
91,79.07,78.85,78.86,77.83,78.99
92,79.45,78.23,78.56,77.33,80.07
93,78.79,77.68,79.02,78.07,79.66
94,78.26,77.42,78.7,77.64,79.61
95,78.29,77.26,79.21,78.42,79.57
96,78.47,77.74,78.33,77.97,79.57
97,78.7,77.31,79.44,78.67,79.62
98,78.95,77.92,78.37,78.19,79.66
99,79.11,78.47,78.5,78.9,79.72
100,79.25,79.0,79.32,78.41,79.78
101,79.4,79.49,78.06,79.11,79.91
102,79.55,78.54,77.68,78.6,79.27
103,79.68,77.92,76.87,78.68,78.86
104,79.61,77.56,78.05,78.34,78.94
105,79.44,77.56,77.07,78.43,79.07
106,79.05,77.56,76.83,77.88,79.28
107,78.66,77.58,76.1,78.51,79.3
108,77.75,77.61,77.36,77.91,79.15
109,77.75,77.64,76.49,78.52,79.15
110,78.09,77.65,77.82,77.98,79.12
111,78.39,77.67,76.92,78.63,79.05
112,78.6,77.7,78.18,78.09,78.95
113,78.78,77.72,77.27,78.68,78.8
114,78.9,77.75,78.58,78.17,78.64
115,79.01,77.77,77.64,78.86,78.48
116,77.77,77.81,78.89,78.33,78.87
117,78.11,77.83,77.94,79.05,79.28
118,78.36,77.87,79.12,78.59,78.25
119,78.57,77.9,78.16,79.08,77.54
120,78.7,77.88,79.28,78.51,77.07
121,78.47,77.83,79.04,77.74,77.22
122,78.1,77.81,78.81,77.52,77.41
123,77.73,77.82,78.6,76.85,77.57
124,77.4,77.75,77.94,76.72,77.75
125,77.09,77.61,78.11,77.48,77.92
126,76.83,77.48,78.54,77.06,78.08
127,76.6,77.35,77.58,77.89,78.22
128,76.4,77.21,78.19,77.51,78.01
129,75.55,76.78,78.4,78.33,77.67
130,75.36,75.36,77.71,77.91,77.34
131,75.27,,77.9,78.63,75.66
132,,,77.35,78.21,75.14
133,,,76.98,78.25,75.0
134,,,76.91,77.8,74.93
135,,,76.39,77.33,74.57
136,,,76.28,76.75,74.38
137,,,75.05,76.25,74.24
138,,,75.68,75.41,74.06
139,,,74.49,74.96,73.87
140,,,74.19,74.2,73.64
141,,,74.0,73.83,73.43
142,,,74.03,73.16,73.25
143,,,72.98,72.87,73.1
144,,,73.7,72.27,72.97
145,,,72.78,72.04,72.82
146,,,72.52,71.51,72.7
147,,,72.26,71.34,
148,,,72.45,70.86,
149,,,72.24,70.73,
150,,,71.8,70.3,
151,,,71.24,70.21,
152,,,71.91,69.82,
153,,,71.07,69.76,
154,,,70.86,69.4,
155,,,70.24,69.38,
156,,,70.23,69.04,
157,,,69.69,69.04,
158,,,69.72,68.74,
159,,,70.15,,
160,,,69.54,,
161,,,70.11,,
