Epoch,TemPo,MFU,RoundRobin,Alternation,Greedy
0,16,16,16,16,16
1,12,12,16,16,16
2,16,16,16,16,16
3,16,16,16,16,16
4,16,14,16,16,16
5,16,16,16,16,16
6,16,14,16,16,16
7,16,14,16,16,16
8,16,14,16,16,16
9,16,14,16,16,16
10,16,14,16,16,16
11,16,14,16,16,16
12,16,14,16,16,16
13,16,14,16,16,16
14,16,16,16,16,16
15,16,16,16,16,16
16,16,14,16,16,16
17,16,16,16,16,16
18,16,14,16,16,16
19,16,14,16,16,16
20,16,14,16,16,16
21,16,14,16,16,16
22,16,14,16,16,16
23,16,14,16,16,16
24,16,14,16,16,16
25,16,16,16,16,16
26,16,14,16,16,16
27,16,14,16,16,16
28,16,16,16,16,16
29,16,14,16,16,16
30,16,16,16,16,16
31,16,14,16,16,16
32,16,16,16,16,16
33,16,14,16,16,16
34,16,16,16,16,16
35,16,14,16,16,16
36,16,14,16,16,16
37,16,14,16,16,16
38,16,14,16,16,14
39,16,14,16,16,16
40,16,16,16,16,16
41,16,16,16,16,16
42,16,16,16,12,16
43,16,14,16,16,14
44,16,14,16,12,14
45,16,14,16,16,14
46,16,14,16,16,14
47,16,14,16,16,14
48,16,14,16,16,14
49,16,14,12,16,14
50,16,14,16,16,14
51,16,14,16,16,14
52,16,14,16,16,14
53,16,14,16,16,14
54,16,14,16,12,14
55,16,14,16,16,14
56,16,14,16,16,14
57,16,14,16,16,14
58,16,14,16,10,14
59,16,14,16,16,14
60,16,14,16,16,14
61,16,14,16,16,16
62,16,14,16,16,14
63,16,14,16,16,14
64,16,14,16,16,16
65,16,14,16,16,14
66,16,14,16,16,14
67,16,14,16,16,14
68,16,14,16,16,14
69,16,14,16,16,14
70,16,14,16,16,14
71,16,14,16,16,14
72,16,14,16,16,14
73,16,14,16,16,14
74,16,14,16,16,14
75,16,14,16,16,14
76,16,14,16,16,14
77,16,14,16,16,14
78,16,16,16,14,14
79,16,16,16,16,14
80,14,16,16,12,14
81,14,16,16,16,16
82,14,16,16,14,14
83,14,16,16,16,16
84,14,16,16,16,14
85,12,16,16,16,14
86,16,16,16,16,14
87,14,16,16,16,14
88,14,16,16,16,14
89,12,16,16,16,14
90,14,16,16,16,16
91,14,16,16,16,14
92,14,16,16,16,14
93,12,16,16,16,14
94,14,16,16,16,14
95,12,16,16,16,14
96,14,16,16,16,14
97,12,16,16,16,14
98,16,16,16,16,16
99,14,16,16,16,14
100,14,16,16,16,16
101,14,16,16,16,12
102,14,16,16,12,12
103,14,16,16,16,12
104,14,16,16,12,16
105,14,16,16,16,14
106,12,16,16,12,12
107,10,16,16,16,10
108,8,16,16,16,10
109,12,14,16,16,12
110,12,14,16,16,10
111,10,14,16,16,10
112,10,14,16,16,10
113,12,14,16,16,12
114,12,14,16,16,12
115,8,14,16,16,12
116,8,14,16,16,10
117,10,14,16,16,8
118,10,14,16,12,10
119,10,12,16,16,10
120,8,12,16,8,10
121,8,12,16,16,10
122,8,12,16,8,10
123,8,10,16,16,10
124,8,10,16,16,10
125,8,8,16,16,10
126,8,8,16,16,10
127,8,6,16,16,8
128,6,4,16,16,8
129,6,2,16,16,8
130,4,2,16,16,6
131,2,,16,16,6
132,,,16,16,6
133,,,16,16,6
134,,,16,16,4
135,,,16,16,4
136,,,16,16,2
137,,,16,16,2
138,,,16,16,2
139,,,16,16,2
140,,,16,16,2
141,,,16,16,2
142,,,16,16,2
143,,,16,16,2
144,,,16,16,2
145,,,16,16,2
146,,,16,16,2
147,,,16,16,
148,,,16,16,
149,,,16,16,
150,,,16,16,
151,,,16,16,
152,,,16,16,
153,,,16,16,
154,,,16,16,
155,,,16,16,
156,,,16,16,
157,,,16,16,
158,,,16,16,
159,,,16,,
160,,,16,,
161,,,16,,
