Epoch,MFU,Alternation,Greedy,RoundRobin,TemPo
0,4,4,4,4,4
1,4,4,4,4,4
2,4,4,4,4,4
3,4,4,4,4,4
4,4,4,4,4,4
5,4,4,4,4,4
6,4,4,4,4,4
7,4,4,4,4,4
8,4,4,4,4,4
9,4,4,4,4,4
10,4,4,4,4,4
11,4,4,4,4,4
12,4,4,4,4,4
13,4,4,4,4,4
14,4,4,4,4,4
15,4,4,4,4,4
16,4,4,4,4,4
17,4,4,4,4,4
18,4,4,4,4,4
19,4,4,4,4,4
20,4,4,4,4,4
21,4,4,4,4,4
22,4,4,4,4,4
23,4,4,4,4,4
24,4,4,4,4,4
25,4,4,4,4,5
26,4,4,4,4,5
27,4,4,4,4,5
28,4,4,4,4,5
29,4,4,4,4,5
30,4,4,4,4,4
31,4,4,4,4,4
32,4,4,4,4,4
33,4,4,4,4,4
34,4,4,4,4,4
35,4,4,4,4,4
36,4,4,4,4,4
37,4,4,4,4,4
38,4,4,4,4,4
39,4,4,4,4,4
40,4,4,4,4,6
41,4,4,4,4,5
42,4,4,4,4,5
43,4,4,4,4,4
44,4,4,4,4,4
45,4,4,4,4,4
46,4,4,4,4,4
47,4,4,4,4,4
48,4,4,4,4,4
49,4,4,2,4,4
50,4,4,2,4,4
51,4,4,2,4,4
52,4,4,2,4,2
53,4,4,2,4,2
54,4,4,2,4,2
55,4,4,2,4,2
56,4,4,2,4,2
57,4,4,2,4,2
58,4,4,2,4,2
59,4,4,2,4,2
60,4,4,2,4,2
61,4,4,2,4,2
62,4,4,2,4,2
63,4,4,2,4,2
64,4,4,2,4,2
65,4,4,2,4,2
66,4,4,2,4,2
67,2,4,2,4,2
68,2,4,2,4,2
69,2,4,2,4,2
70,2,4,2,4,2
71,2,4,2,4,2
72,2,4,2,4,
73,2,4,2,4,
74,2,4,2,4,
75,2,4,2,4,
76,2,4,2,4,
77,2,4,2,4,
78,2,4,2,4,
79,1,4,2,4,
80,1,4,2,4,
81,1,4,2,4,
82,1,4,2,4,
83,1,4,2,4,
84,,4,2,4,
85,,4,2,4,
86,,4,2,4,
87,,4,2,4,
88,,4,2,4,
89,,4,2,4,
90,,4,2,4,
91,,4,2,4,
92,,4,2,4,
93,,4,2,4,
94,,4,2,4,
95,,4,2,4,
96,,4,2,4,
97,,4,2,4,
98,,4,2,4,
99,,4,2,4,
100,,4,2,4,
101,,4,2,4,
102,,4,2,4,
103,,4,2,4,
104,,4,2,4,
105,,4,2,4,
106,,4,2,4,
107,,4,2,4,
108,,4,2,4,
109,,4,2,4,
110,,4,,4,
111,,4,,4,
112,,4,,4,
113,,4,,4,
114,,4,,4,
115,,4,,4,
116,,4,,4,
117,,4,,4,
118,,4,,4,
119,,4,,4,
120,,4,,4,
121,,4,,4,
122,,4,,4,
123,,4,,4,
124,,4,,4,
125,,4,,4,
126,,4,,4,
127,,4,,4,
128,,4,,4,
129,,4,,4,
130,,4,,4,
131,,4,,4,
132,,4,,4,
133,,4,,4,
134,,4,,4,
135,,4,,4,
136,,4,,4,
137,,4,,4,
138,,4,,4,
