Epoch,MFU,Alternation,Greedy,RoundRobin,TemPo
0,70.07,70.07,70.07,70.07,70.07
1,69.67,70.99,69.84,71.15,69.67
2,70.8,70.37,69.44,70.33,70.8
3,71.45,70.19,69.05,70.28,71.43
4,72.02,69.75,68.68,69.64,72.01
5,72.52,69.59,68.33,69.67,72.51
6,72.98,69.18,68.01,69.06,72.98
7,73.41,69.06,67.71,69.06,73.42
8,73.8,68.69,67.44,68.5,73.8
9,74.17,68.6,67.18,68.55,74.17
10,74.51,68.28,66.95,68.04,73.01
11,74.83,68.22,66.74,68.12,72.73
12,75.13,67.87,66.55,67.63,71.88
13,75.41,67.83,66.37,67.74,72.75
14,75.68,67.57,66.21,67.29,73.23
15,75.92,67.57,66.06,67.42,73.65
16,76.14,67.26,66.13,66.99,74.05
17,76.36,67.28,66.17,67.14,72.91
18,76.55,67.06,66.2,66.74,72.65
19,76.74,68.06,66.23,66.91,71.82
20,76.91,67.59,66.25,66.52,72.69
21,77.06,68.16,66.27,66.71,73.17
22,77.22,67.76,66.3,66.34,73.61
23,77.35,67.75,66.32,66.61,74.02
24,77.48,67.49,66.33,66.24,72.89
25,77.6,67.49,66.34,66.45,72.63
26,77.71,67.19,66.35,66.1,73.2
27,77.82,67.21,66.37,66.31,73.61
28,77.91,67.0,66.38,65.97,73.98
29,78.01,67.04,66.39,66.2,74.32
30,78.11,66.78,66.41,65.88,73.19
31,78.19,66.84,66.42,66.11,72.92
32,78.29,66.59,66.43,65.79,72.08
33,78.35,67.2,66.45,66.04,72.94
34,78.42,66.89,66.46,65.73,73.41
35,78.5,66.95,66.47,65.98,73.84
36,78.33,66.77,66.47,65.67,74.22
37,78.26,67.4,66.48,65.92,73.08
38,78.14,67.07,66.49,65.62,72.82
39,78.04,67.12,66.5,65.88,71.99
40,77.96,66.92,66.5,65.58,72.86
41,77.88,66.97,66.51,65.84,73.36
42,77.81,66.79,66.52,65.55,73.78
43,77.74,66.85,66.53,65.81,74.28
44,77.67,66.61,66.54,65.52,74.5
45,77.62,66.68,66.8,65.79,74.72
46,77.58,66.52,67.91,65.5,74.89
47,77.53,66.6,68.73,65.77,75.05
48,77.5,66.38,69.5,65.49,75.22
49,77.45,66.46,70.2,65.76,75.37
50,77.48,66.25,70.58,65.47,75.49
51,77.51,66.35,70.89,65.74,75.63
52,77.53,66.2,71.16,65.46,75.76
53,77.54,66.31,71.42,65.73,75.77
54,77.56,66.18,71.65,65.45,75.72
55,77.57,66.85,71.86,65.72,75.66
56,77.59,66.5,72.06,65.44,75.62
57,77.61,66.59,72.24,65.71,75.56
58,77.62,66.43,72.41,65.43,75.51
59,77.65,66.53,72.56,65.7,75.45
60,77.66,66.31,72.7,65.42,75.41
61,77.67,66.41,72.84,65.7,75.36
62,77.68,66.26,72.97,65.41,75.31
63,77.69,66.92,73.08,65.75,75.28
64,77.71,66.64,73.19,65.46,75.25
65,77.73,66.72,73.28,65.73,75.2
66,77.74,66.56,73.39,65.45,75.17
67,77.75,67.19,73.47,65.75,75.13
68,76.37,66.82,73.55,65.47,75.12
69,75.36,66.89,73.61,65.74,75.1
70,74.43,66.64,73.68,65.46,75.07
71,73.57,66.71,73.74,65.73,75.05
72,72.77,66.48,73.81,65.44,
73,72.04,66.56,73.87,65.72,
74,71.37,66.34,73.92,65.43,
75,70.74,66.43,73.97,65.7,
76,70.17,66.22,74.01,65.42,
77,69.64,66.32,74.05,65.7,
78,69.15,66.12,74.09,65.42,
79,68.69,66.23,74.13,65.7,
80,68.27,66.04,74.17,65.41,
81,67.88,66.15,74.19,65.69,
82,67.51,65.96,74.23,65.41,
83,67.17,66.08,74.27,65.69,
84,,65.9,74.29,65.41,
85,,66.03,74.31,65.69,
86,,65.85,74.34,65.41,
87,,65.98,74.35,65.69,
88,,65.8,74.37,65.41,
89,,65.94,74.41,65.69,
90,,65.77,74.44,65.41,
91,,65.9,74.46,65.68,
92,,65.73,74.46,65.4,
93,,65.87,74.49,65.69,
94,,65.71,74.51,65.41,
95,,65.85,74.54,65.68,
96,,65.68,74.53,65.4,
97,,65.82,74.56,65.68,
98,,65.66,74.56,65.41,
99,,65.8,74.58,65.68,
100,,65.64,74.6,65.4,
101,,65.79,74.61,65.68,
102,,65.63,74.63,65.4,
103,,65.77,74.63,65.68,
104,,65.62,74.67,65.41,
105,,65.76,74.67,65.69,
106,,65.61,74.7,65.41,
107,,65.75,74.72,65.69,
108,,65.6,74.72,65.41,
109,,65.74,74.75,65.69,
110,,65.59,,65.41,
111,,65.74,,65.69,
112,,65.58,,65.41,
113,,65.73,,65.69,
114,,65.58,,65.41,
115,,65.72,,65.69,
116,,65.57,,65.41,
117,,65.72,,65.69,
118,,65.57,,65.41,
119,,65.72,,65.69,
120,,65.56,,65.41,
121,,65.71,,65.69,
122,,65.56,,65.41,
123,,65.71,,65.69,
124,,65.55,,65.41,
125,,65.71,,65.69,
126,,65.55,,65.41,
127,,65.7,,65.7,
128,,65.55,,65.42,
129,,65.7,,65.7,
130,,65.55,,65.42,
131,,65.7,,65.69,
132,,65.55,,65.42,
133,,65.7,,65.69,
134,,65.55,,65.41,
135,,65.7,,65.69,
136,,65.54,,65.42,
137,,65.7,,65.7,
138,,65.54,,65.42,
