Epoch,MFU,Alternation,Greedy,RoundRobin,TemPo
0,16,16,16,16,16
1,16,16,16,16,16
2,16,16,16,16,16
3,16,16,16,16,16
4,16,16,16,16,16
5,16,16,16,16,16
6,16,16,16,16,16
7,16,16,16,16,16
8,16,16,16,16,16
9,16,16,16,16,16
10,16,16,16,16,16
11,16,16,16,16,16
12,16,16,16,16,16
13,16,16,16,16,16
14,16,16,16,16,16
15,16,16,16,16,16
16,16,16,16,16,16
17,16,16,16,16,16
18,16,16,16,16,16
19,16,16,16,16,16
20,16,16,16,16,16
21,16,16,16,16,16
22,16,16,16,16,16
23,16,16,16,16,16
24,16,16,16,16,16
25,16,16,16,16,16
26,16,16,16,16,16
27,16,16,16,16,16
28,16,16,16,16,16
29,16,16,16,16,16
30,16,16,16,16,16
31,16,16,16,16,16
32,16,16,16,16,16
33,16,16,16,16,16
34,16,16,16,16,16
35,16,16,16,16,16
36,16,16,16,16,16
37,16,16,16,16,16
38,16,16,16,16,16
39,16,16,16,16,16
40,16,16,16,16,16
41,16,16,16,16,16
42,16,16,16,16,16
43,16,16,16,16,16
44,16,16,16,16,16
45,16,16,16,16,16
46,16,16,16,16,16
47,16,16,16,16,16
48,16,16,16,16,16
49,16,16,8,16,16
50,16,16,8,16,16
51,16,16,8,16,16
52,16,16,8,16,8
53,16,16,8,16,8
54,16,16,8,16,8
55,16,16,8,16,8
56,16,16,8,16,8
57,16,16,8,16,8
58,16,16,8,16,8
59,16,16,8,16,8
60,16,16,8,16,8
61,16,16,8,16,8
62,16,16,8,16,8
63,16,16,8,16,8
64,16,16,8,16,8
65,16,16,8,16,8
66,16,16,8,16,8
67,8,16,8,16,8
68,8,16,8,16,8
69,8,16,8,16,8
70,8,16,8,16,8
71,8,16,8,16,8
72,8,16,8,16,
73,8,16,8,16,
74,8,16,8,16,
75,8,16,8,16,
76,8,16,8,16,
77,8,16,8,16,
78,8,16,8,16,
79,4,16,8,16,
80,4,16,8,16,
81,4,16,8,16,
82,4,16,8,16,
83,4,16,8,16,
84,,16,8,16,
85,,16,8,16,
86,,16,8,16,
87,,16,8,16,
88,,16,8,16,
89,,16,8,16,
90,,16,8,16,
91,,16,8,16,
92,,16,8,16,
93,,16,8,16,
94,,16,8,16,
95,,16,8,16,
96,,16,8,16,
97,,16,8,16,
98,,16,8,16,
99,,16,8,16,
100,,16,8,16,
101,,16,8,16,
102,,16,8,16,
103,,16,8,16,
104,,16,8,16,
105,,16,8,16,
106,,16,8,16,
107,,16,8,16,
108,,16,8,16,
109,,16,8,16,
110,,16,,16,
111,,16,,16,
112,,16,,16,
113,,16,,16,
114,,16,,16,
115,,16,,16,
116,,16,,16,
117,,16,,16,
118,,16,,16,
119,,16,,16,
120,,16,,16,
121,,16,,16,
122,,16,,16,
123,,16,,16,
124,,16,,16,
125,,16,,16,
126,,16,,16,
127,,16,,16,
128,,16,,16,
129,,16,,16,
130,,16,,16,
131,,16,,16,
132,,16,,16,
133,,16,,16,
134,,16,,16,
135,,16,,16,
136,,16,,16,
137,,16,,16,
138,,16,,16,
