Epoch,MFU,TemPo,Alternation,Greedy,RoundRobin
0,6,6,4,7,6
1,7,7,4,6,5
2,8,8,4,6,6
3,7,8,4,7,6
4,7,6,4,8,6
5,6,6,4,7,6
6,8,6,4,7,6
7,6,6,4,7,6
8,7,7,4,7,6
9,7,5,4,6,7
10,7,5,4,6,5
11,6,6,4,6,4
12,6,5,4,4,4
13,6,6,4,4,4
14,5,6,4,4,4
15,4,4,4,4,4
16,4,6,4,4,4
17,4,5,4,4,4
18,4,4,4,4,4
19,4,5,4,4,4
20,4,5,4,4,4
21,4,4,4,4,4
22,4,6,2,4,4
23,4,6,4,4,4
24,4,6,2,4,4
25,4,5,4,4,4
26,5,6,2,5,5
27,5,5,4,5,6
28,6,6,4,5,6
29,5,5,4,5,5
30,5,6,4,5,4
31,4,5,4,5,4
32,4,4,4,4,4
33,4,5,4,4,4
34,4,4,4,4,4
35,4,4,4,4,4
36,4,4,2,4,4
37,4,4,4,4,4
38,4,4,2,4,4
39,4,4,4,4,4
40,4,4,2,4,4
41,4,4,4,4,4
42,4,4,4,4,4
43,4,4,4,4,4
44,4,4,4,4,4
45,4,4,4,4,4
46,4,4,4,4,4
47,4,4,4,4,4
48,4,4,4,4,4
49,4,4,4,4,4
50,4,4,2,4,4
51,4,4,4,4,4
52,4,4,2,4,4
53,4,4,4,4,4
54,4,4,2,4,4
55,4,4,4,4,4
56,4,4,2,4,4
57,4,4,4,4,4
58,4,4,4,4,4
59,4,4,4,4,4
60,4,4,4,4,4
61,4,4,4,4,4
62,4,4,4,4,4
63,4,4,4,4,4
64,4,4,4,4,4
65,4,4,4,4,4
66,4,4,2,4,4
67,2,4,4,4,4
68,3,4,2,5,4
69,3,2,4,4,4
70,3,4,2,4,6
71,3,4,4,4,6
72,4,4,2,4,6
73,4,3,4,4,6
74,5,3,4,4,6
75,5,3,4,3,6
76,3,3,4,4,6
77,3,3,4,4,6
78,2,3,4,4,6
79,2,4,4,2,6
80,2,4,2,3,6
81,4,4,4,4,6
82,4,3,2,4,6
83,4,4,4,4,6
84,4,3,2,4,6
85,4,3,4,4,6
86,2,3,2,4,6
87,2,3,4,4,6
88,3,3,2,3,6
89,4,4,4,3,6
90,4,4,4,4,6
91,4,4,4,3,6
92,4,3,4,3,6
93,4,4,4,3,6
94,4,3,4,4,6
95,2,3,4,4,6
96,2,4,4,4,6
97,3,4,4,3,6
98,4,4,2,4,6
99,4,3,4,3,6
100,4,3,2,3,6
101,4,4,4,2,6
102,4,4,2,4,6
103,3,3,4,4,6
104,2,4,2,4,6
105,3,3,4,4,6
106,3,2,4,4,6
107,4,4,4,3,6
108,3,4,4,3,6
109,3,3,4,3,6
110,4,3,4,4,6
111,4,4,4,4,6
112,3,4,2,4,6
113,3,4,4,3,6
114,3,2,2,4,6
115,3,4,4,4,6
116,3,4,2,3,6
117,3,4,4,3,6
118,3,3,2,4,6
119,4,4,4,4,6
120,3,4,2,4,6
121,3,3,4,3,6
122,3,3,4,4,6
123,3,4,4,3,6
124,4,3,4,3,6
125,3,3,4,3,6
126,2,3,4,4,6
127,2,2,4,4,6
128,2,3,4,3,6
129,2,3,4,3,6
130,2,3,4,2,6
131,2,3,4,2,6
132,2,3,2,2,7
133,2,2,4,2,6
134,2,2,2,2,6
135,2,2,4,2,6
136,2,2,4,2,6
137,2,2,4,2,6
138,2,2,4,2,6
139,2,2,4,2,6
140,2,2,4,2,6
141,2,2,4,2,6
142,2,2,4,2,6
143,2,2,4,2,6
144,2,2,4,2,6
145,2,2,4,2,6
146,2,2,4,2,6
147,2,2,4,2,6
148,2,2,4,2,6
149,2,2,4,2,6
150,2,2,4,2,6
151,2,2,4,2,6
152,2,2,4,2,6
153,2,2,4,2,6
154,2,2,4,2,6
155,2,2,4,2,6
156,2,2,4,2,6
157,2,2,4,2,6
158,2,2,4,2,6
159,2,1,4,2,6
160,2,,4,2,6
161,2,,4,2,6
162,2,,4,2,6
163,2,,4,2,6
164,2,,4,2,6
165,2,,4,2,6
166,2,,4,2,6
167,1,,4,1,6
168,1,,4,1,6
169,1,,4,,6
170,,,4,,6
171,,,4,,6
172,,,4,,6
173,,,4,,6
174,,,4,,6
175,,,4,,6
176,,,4,,6
177,,,4,,6
178,,,4,,6
179,,,4,,6
180,,,4,,6
181,,,4,,6
182,,,4,,6
183,,,4,,6
184,,,4,,6
185,,,4,,6
186,,,4,,6
187,,,4,,6
188,,,4,,6
189,,,4,,6
190,,,4,,6
191,,,4,,6
192,,,4,,6
193,,,4,,6
194,,,4,,6
195,,,4,,6
196,,,4,,6
197,,,4,,6
198,,,4,,6
199,,,4,,6
200,,,4,,6
201,,,4,,6
202,,,4,,6
203,,,4,,6
204,,,4,,6
205,,,4,,6
206,,,4,,6
207,,,4,,6
208,,,4,,6
209,,,,,6
210,,,,,6
211,,,,,6
212,,,,,6
213,,,,,6
214,,,,,6
215,,,,,6
