Epoch,MFU,TemPo,Alternation,Greedy,RoundRobin
0,70.07,70.07,70.07,70.07,70.07
1,70.83,70.83,71.26,72.15,72.01
2,72.99,73.06,71.39,72.45,73.3
3,73.31,73.06,72.66,73.91,74.37
4,74.96,74.92,72.73,75.67,75.26
5,76.03,76.63,73.91,77.25,76.95
6,76.49,77.94,73.89,79.12,78.26
7,77.25,79.36,74.99,78.64,78.99
8,78.0,79.4,74.9,78.97,79.98
9,78.69,80.09,75.93,79.85,79.94
10,79.37,79.94,75.79,79.65,79.92
11,79.99,79.57,76.81,79.79,79.85
12,79.82,79.7,76.6,79.99,79.58
13,79.59,79.7,77.54,79.76,79.31
14,79.67,79.72,77.26,79.51,79.09
15,79.96,79.66,78.09,79.28,78.89
16,79.74,79.23,77.76,79.08,78.74
17,79.46,79.69,78.57,78.9,78.61
18,79.22,79.47,78.16,78.76,78.5
19,78.99,79.25,78.96,78.65,78.42
20,78.8,79.41,78.6,78.52,78.36
21,78.63,79.51,79.43,78.42,78.3
22,78.49,79.06,79.05,78.33,78.25
23,78.37,79.49,78.47,78.26,78.21
24,78.26,79.64,78.41,78.19,78.17
25,78.22,79.62,77.88,78.15,78.14
26,78.19,79.32,77.87,78.13,78.12
27,78.62,79.51,77.39,78.67,78.65
28,79.34,79.3,76.81,79.35,79.34
29,79.99,79.64,77.55,80.02,79.99
30,79.83,79.5,77.24,79.87,79.97
31,80.02,79.57,78.13,79.67,79.8
32,79.86,79.63,77.83,80.01,79.61
33,79.65,79.41,78.71,79.87,79.41
34,79.42,79.78,78.4,79.67,79.22
35,79.23,79.61,79.26,79.46,79.05
36,79.07,79.44,78.54,79.27,78.9
37,78.93,79.25,77.88,79.1,78.78
38,78.8,79.09,77.85,78.95,78.68
39,78.68,78.95,77.36,78.83,78.59
40,78.59,78.82,77.41,78.72,78.5
41,78.51,78.72,76.98,78.64,78.42
42,78.42,78.62,77.0,78.55,78.37
43,78.35,78.55,77.96,78.49,78.32
44,78.28,78.52,77.73,78.43,78.29
45,78.25,78.5,78.65,78.38,78.27
46,78.27,78.48,78.37,78.34,78.27
47,78.29,78.48,79.28,78.33,78.29
48,78.3,78.49,78.95,78.34,78.31
49,78.33,78.49,79.27,78.35,78.34
50,78.35,78.48,78.87,78.37,78.35
51,78.36,78.5,78.26,78.39,78.36
52,78.38,78.51,78.22,78.4,78.37
53,78.4,78.52,77.67,78.41,78.4
54,78.42,78.53,77.65,78.42,78.42
55,78.43,78.54,77.16,78.44,78.43
56,78.46,78.55,77.19,78.45,78.45
57,78.47,78.56,76.79,78.47,78.47
58,78.5,78.57,76.93,78.49,78.49
59,78.53,78.57,77.91,78.51,78.5
60,78.55,78.59,77.67,78.53,78.52
61,78.56,78.6,78.61,78.55,78.55
62,78.57,78.61,78.34,78.56,78.57
63,78.59,78.62,79.22,78.58,78.58
64,78.6,78.63,78.92,78.6,78.6
65,78.63,78.65,79.39,78.61,78.62
66,78.65,78.67,78.92,78.63,78.64
67,78.56,78.68,78.31,78.64,78.66
68,78.15,78.7,78.26,78.61,78.68
69,78.08,78.66,77.72,78.44,78.68
70,78.3,78.43,77.74,78.08,78.42
71,78.53,78.13,77.19,78.21,77.86
72,78.72,78.4,77.29,78.31,77.86
73,78.89,78.65,76.88,78.38,77.87
74,79.01,78.94,76.99,78.99,77.89
75,79.09,79.16,78.01,79.48,77.9
76,79.4,79.32,77.8,79.37,77.91
77,78.94,79.41,78.72,78.46,77.94
78,79.5,79.48,78.48,78.71,77.97
79,78.6,79.14,79.39,79.34,78.0
80,78.09,78.65,79.09,78.53,78.03
81,77.62,79.0,78.58,78.07,78.06
82,77.99,78.75,78.59,78.33,78.08
83,78.63,79.18,78.12,78.84,78.11
84,79.26,79.19,78.18,79.33,78.15
85,78.8,78.6,77.74,79.41,78.16
86,79.51,79.16,77.83,78.48,78.19
87,78.69,78.96,77.42,79.0,78.22
88,78.23,78.71,77.55,79.62,78.24
89,77.83,77.85,77.16,78.78,78.26
90,78.44,78.5,77.3,78.51,78.28
91,78.97,79.13,77.75,79.07,78.3
92,79.47,78.74,77.48,78.37,78.31
93,79.45,78.57,78.36,78.9,78.32
94,78.74,79.15,78.06,79.37,78.35
95,79.35,78.94,78.95,78.42,78.36
96,78.57,78.71,78.63,78.53,78.37
97,78.14,77.46,79.43,79.18,78.4
98,77.72,78.3,79.12,78.42,78.41
99,78.39,78.92,78.62,79.06,78.43
100,78.92,78.83,78.64,78.52,78.45
101,79.42,78.7,78.16,79.02,78.45
102,79.49,79.0,77.84,78.1,78.47
103,79.36,79.23,77.29,77.97,78.48
104,79.37,78.42,77.35,78.66,78.5
105,78.63,78.94,76.95,79.31,78.51
106,78.2,78.81,77.1,78.98,78.52
107,78.57,77.95,78.11,79.27,78.53
108,79.03,77.92,77.94,78.44,78.53
109,78.6,78.81,78.9,78.94,78.56
110,79.16,78.64,78.64,79.36,78.57
111,78.69,78.46,79.54,78.45,78.59
112,79.29,79.09,79.26,78.71,78.59
113,78.6,78.86,78.77,79.31,78.6
114,79.25,79.21,78.8,78.49,78.61
115,79.13,78.42,78.34,78.46,78.63
116,78.32,78.04,78.39,79.09,78.64
117,78.37,78.96,77.96,78.51,78.64
118,78.99,78.83,77.99,79.02,78.64
119,79.58,78.58,77.59,78.13,78.66
120,79.45,79.17,77.71,78.64,78.68
121,78.71,78.91,77.32,79.27,78.68
122,78.66,78.84,77.41,78.58,78.7
123,79.16,79.18,77.76,79.15,78.69
124,78.24,78.94,77.47,78.41,78.7
125,77.47,78.77,78.29,78.44,78.72
126,77.72,77.91,77.95,78.17,78.72
127,77.48,78.7,78.78,77.84,78.69
128,77.25,78.49,78.45,77.89,78.66
129,76.98,77.69,79.27,78.51,78.58
130,76.76,77.27,78.91,79.07,78.46
131,76.57,77.88,79.54,77.55,78.1
132,76.42,78.44,79.17,77.26,77.44
133,76.27,78.92,78.66,77.01,76.79
