Epoch,RoundRobin,MFU,TemPo,Alternation,Greedy
0,70.07,70.07,70.07,70.07,70.07
1,70.23,69.89,69.89,70.02,70.23
2,70.2,70.07,70.07,69.6,70.25
3,70.01,70.12,70.12,69.47,70.21
4,69.68,70.14,70.14,69.02,70.16
5,69.79,70.11,70.11,68.9,70.1
6,69.73,70.07,70.07,68.48,70.04
7,69.56,70.02,70.02,68.39,69.98
8,69.25,69.98,69.98,68.0,69.94
9,69.4,69.93,69.93,67.96,69.9
10,69.38,69.89,69.89,67.61,69.87
11,69.23,69.85,69.85,67.59,69.84
12,68.96,69.82,69.82,67.28,69.8
13,69.14,69.79,69.79,67.29,69.77
14,69.14,69.77,69.77,67.0,69.74
15,69.02,69.75,69.75,67.03,69.73
16,68.76,69.71,69.71,66.76,69.65
17,68.95,69.73,69.73,66.8,69.58
18,68.97,69.76,69.76,66.55,69.52
19,68.86,69.82,69.82,66.61,69.45
20,68.62,69.9,69.9,66.37,69.41
21,68.82,69.98,69.97,66.45,69.36
22,68.85,70.05,70.05,66.22,69.32
23,68.75,70.11,70.11,66.3,69.27
24,68.52,70.18,70.19,66.09,69.24
25,68.73,70.24,70.25,66.18,69.21
26,68.76,70.3,70.3,65.98,69.18
27,68.67,70.3,70.3,66.08,69.16
28,68.45,69.98,69.98,65.89,68.83
29,68.67,69.63,69.63,66.0,68.56
30,68.7,69.28,69.28,65.82,68.31
31,68.62,68.96,68.96,65.94,68.06
32,68.41,68.65,68.65,65.75,67.83
33,68.64,68.36,68.36,65.88,67.61
34,68.68,68.11,68.11,65.7,67.4
35,68.6,67.87,67.87,65.83,67.21
36,68.39,67.65,67.65,65.66,67.03
37,68.62,67.45,67.45,65.79,66.86
38,68.66,67.26,67.26,65.62,66.7
39,68.58,67.09,67.09,65.76,66.56
40,68.38,66.92,66.92,65.59,66.42
41,68.61,66.77,66.77,65.73,66.29
42,68.65,66.63,66.63,65.56,66.18
43,68.58,66.5,66.5,65.7,66.08
44,68.37,66.38,66.38,65.54,66.0
45,68.6,66.27,66.27,65.68,65.91
46,68.65,66.17,66.17,65.52,65.84
47,68.57,66.07,66.07,65.67,65.76
48,68.37,65.98,65.98,65.51,65.7
49,68.6,65.89,65.89,65.65,65.64
50,68.65,65.82,65.82,65.5,65.58
51,68.58,65.75,65.75,65.64,65.52
52,68.38,65.68,65.68,65.49,65.47
53,68.61,65.62,65.62,65.63,65.42
54,68.66,65.56,65.56,65.48,65.38
55,68.58,65.16,65.16,65.62,65.34
56,68.39,64.85,64.85,65.47,65.3
57,68.62,64.58,64.58,65.62,65.22
58,68.67,64.28,64.28,65.46,65.09
59,68.6,63.95,63.95,65.61,64.95
60,68.4,63.63,63.63,65.46,64.81
61,68.63,63.32,63.32,65.61,64.68
62,68.68,63.03,63.04,65.46,64.55
63,68.61,,,65.6,64.44
64,68.41,,,65.45,64.32
65,68.64,,,65.6,64.22
66,68.69,,,65.45,64.13
67,68.62,,,65.6,64.04
68,68.43,,,65.45,63.95
69,68.66,,,65.6,
70,68.71,,,65.45,
71,68.64,,,65.6,
72,68.44,,,65.45,
73,68.68,,,65.6,
74,68.72,,,65.45,
75,68.65,,,65.6,
76,68.46,,,65.45,
77,68.69,,,65.6,
78,68.74,,,65.45,
79,68.67,,,65.6,
80,68.47,,,65.45,
81,68.71,,,65.6,
82,68.76,,,65.45,
83,68.69,,,65.6,
84,68.49,,,65.45,
85,68.72,,,65.6,
86,68.77,,,65.45,
87,68.7,,,65.6,
88,68.5,,,65.45,
89,68.74,,,65.61,
90,68.79,,,65.45,
91,68.72,,,65.61,
92,68.52,,,65.45,
93,68.75,,,65.6,
94,,,,65.45,
95,,,,65.61,
96,,,,65.46,
97,,,,65.61,
98,,,,65.46,
99,,,,65.61,
100,,,,65.46,
101,,,,65.61,
102,,,,65.46,
103,,,,65.61,
104,,,,65.46,
105,,,,65.61,
106,,,,65.46,
107,,,,65.61,
108,,,,65.46,
109,,,,65.61,
110,,,,65.46,
111,,,,65.61,
112,,,,65.46,
113,,,,65.62,
114,,,,65.46,
