Epoch,MFU,Greedy,TemPo,RoundRobin,Alternation
0,24,24,24,24,16
1,24,24,24,24,16
2,24,24,24,24,16
3,24,24,24,24,16
4,24,24,24,24,16
5,24,24,24,24,16
6,24,24,24,24,16
7,24,24,24,24,16
8,24,24,24,24,16
9,24,24,24,24,16
10,24,24,24,24,16
11,24,24,24,24,16
12,24,24,24,24,16
13,24,24,24,24,16
14,24,24,24,24,16
15,24,24,24,24,16
16,24,24,24,24,16
17,24,24,24,24,16
18,24,24,24,24,16
19,24,24,24,24,16
20,24,24,24,24,16
21,24,24,24,24,16
22,24,24,24,24,16
23,24,24,24,24,16
24,24,24,24,24,16
25,24,24,24,24,16
26,24,24,24,24,16
27,18,22,24,24,16
28,18,24,24,24,16
29,18,24,18,24,16
30,22,24,16,24,16
31,22,24,18,24,16
32,22,18,22,24,16
33,18,18,20,24,16
34,16,16,22,24,16
35,18,16,20,24,16
36,18,16,18,24,16
37,18,16,18,24,16
38,16,20,18,24,16
39,16,20,18,24,16
40,20,24,18,24,16
41,22,20,20,24,16
42,22,20,22,24,16
43,18,18,20,24,16
44,18,8,18,24,16
45,16,8,18,24,16
46,14,10,16,24,16
47,10,12,12,24,16
48,8,14,10,24,16
49,12,16,12,24,16
50,14,14,16,24,16
51,14,12,10,24,16
52,16,8,10,24,16
53,10,8,14,24,16
54,10,10,14,24,16
55,10,10,14,24,16
56,8,14,10,24,16
57,10,16,10,24,16
58,14,14,14,24,16
59,14,14,14,24,16
60,16,10,14,24,16
61,16,8,12,24,16
62,10,10,12,24,16
63,10,10,10,24,16
64,8,10,10,24,16
65,8,14,12,24,16
66,8,14,12,24,16
67,6,14,14,24,16
68,8,8,14,24,16
69,8,8,10,24,16
70,8,10,10,24,16
71,8,10,14,24,16
72,8,12,14,24,16
73,8,14,10,24,16
74,8,12,8,24,16
75,8,10,6,24,16
76,8,10,8,24,16
77,8,8,8,24,16
78,8,10,8,24,16
79,8,10,8,24,16
80,8,10,8,24,16
81,8,10,8,24,16
82,8,10,8,24,16
83,8,8,8,24,16
84,8,8,8,24,16
85,8,8,8,24,16
86,8,10,8,24,16
87,8,10,8,24,16
88,8,10,8,24,16
89,8,10,8,24,16
90,8,10,8,24,16
91,8,8,8,24,16
92,8,8,8,24,16
93,8,8,8,24,16
94,8,8,8,24,16
95,8,8,8,24,16
96,8,8,6,24,16
97,8,8,4,24,16
98,8,8,2,24,16
99,8,8,2,24,16
100,8,8,2,24,16
101,8,6,2,24,16
102,8,6,,24,16
103,8,6,,24,16
104,8,6,,24,16
105,8,6,,24,16
106,8,6,,24,16
107,8,6,,24,16
108,8,6,,24,16
109,8,2,,24,16
110,6,2,,24,16
111,4,2,,24,16
112,,2,,24,16
113,,2,,24,16
114,,2,,24,16
115,,,,24,16
116,,,,24,16
117,,,,24,16
118,,,,24,16
119,,,,24,16
120,,,,24,16
121,,,,24,16
122,,,,24,16
123,,,,24,16
124,,,,24,16
125,,,,24,16
126,,,,24,16
127,,,,24,16
128,,,,24,16
129,,,,24,16
130,,,,24,16
131,,,,24,16
132,,,,24,16
133,,,,24,16
134,,,,24,16
135,,,,24,16
136,,,,24,16
137,,,,24,16
138,,,,24,
139,,,,24,
140,,,,24,
141,,,,24,
142,,,,24,
