Epoch,Greedy,RoundRobin,Alternation,TemPo,MFU
0,6,6,4,6,6
1,6,6,4,8,8
2,6,6,4,8,8
3,6,6,4,8,8
4,6,6,4,8,8
5,6,6,4,8,8
6,6,6,4,8,8
7,6,6,4,8,8
8,6,6,4,8,8
9,6,6,4,6,6
10,6,6,4,6,6
11,6,6,4,6,6
12,6,6,4,6,6
13,6,6,4,6,6
14,6,6,4,6,6
15,4,6,4,4,4
16,4,6,4,4,4
17,4,6,4,4,4
18,4,6,4,4,4
19,4,6,4,4,4
20,4,6,4,4,4
21,4,6,4,4,4
22,4,6,4,4,4
23,4,6,4,4,4
24,4,6,4,4,4
25,4,6,4,4,4
26,4,6,4,4,4
27,4,6,4,4,4
28,4,6,4,4,4
29,4,6,4,4,4
30,4,6,4,4,4
31,4,6,4,4,4
32,4,6,4,4,4
33,4,6,4,4,4
34,4,6,4,4,4
35,4,6,4,4,4
36,4,6,4,4,4
37,4,6,4,4,4
38,4,6,4,4,4
39,4,6,4,4,4
40,4,6,4,4,4
41,4,6,4,4,4
42,4,6,4,4,4
43,4,6,4,4,4
44,2,,4,4,4
45,2,,,,
46,2,,,,
47,2,,,,
48,2,,,,
49,2,,,,
50,2,,,,
51,2,,,,
52,2,,,,
53,2,,,,
54,2,,,,
55,2,,,,
56,2,,,,
57,2,,,,
