Epoch,Greedy,RoundRobin,Alternation,TemPo,MFU
0,70.07,70.07,70.07,70.07,70.07
1,70.05,70.21,70.0,69.88,69.88
2,69.79,70.16,69.58,70.09,70.09
3,69.61,69.97,69.45,69.74,69.74
4,69.43,69.65,69.0,69.79,69.79
5,69.27,69.76,68.88,69.47,69.47
6,69.12,69.7,68.46,69.48,69.48
7,68.98,69.52,68.38,69.23,69.23
8,68.85,69.22,67.99,69.21,69.21
9,68.73,69.36,67.94,69.02,69.01
10,68.62,69.33,67.59,69.16,69.16
11,68.53,69.19,67.58,69.31,69.31
12,68.44,68.92,67.27,68.88,68.88
13,68.36,69.1,67.27,69.1,69.1
14,68.29,69.09,66.98,68.69,68.69
15,68.22,68.96,67.01,68.92,68.92
16,68.37,68.72,66.74,68.93,68.93
17,68.33,68.91,66.79,68.83,68.83
18,68.25,68.91,66.53,68.71,68.71
19,68.15,68.8,66.59,68.58,68.57
20,68.06,68.57,66.35,68.44,68.44
21,67.96,68.77,66.43,68.32,68.32
22,67.87,68.79,66.2,68.2,68.2
23,67.79,68.69,66.29,68.08,68.08
24,67.71,68.46,66.08,67.98,67.98
25,67.63,68.67,66.17,67.88,67.88
26,67.56,68.7,65.96,67.79,67.79
27,67.5,68.61,66.07,67.71,67.71
28,67.44,68.39,65.87,67.63,67.63
29,67.39,68.62,65.99,67.56,67.56
30,67.34,68.65,65.8,67.49,67.49
31,67.3,68.57,65.92,67.43,67.43
32,67.25,68.36,65.74,67.38,67.38
33,67.22,68.59,65.86,67.33,67.33
34,67.18,68.63,65.69,67.28,67.28
35,67.15,68.55,65.82,67.23,67.23
36,67.12,68.35,65.64,67.19,67.19
37,67.1,68.57,65.78,67.16,67.16
38,67.07,68.62,65.61,67.13,67.13
39,67.05,68.54,65.74,67.1,67.1
40,67.03,68.34,65.58,67.07,67.07
41,67.01,68.57,65.72,67.05,67.05
42,66.99,68.62,65.55,67.03,67.03
43,66.98,68.54,65.69,67.01,67.01
44,66.96,,65.53,66.99,66.99
45,66.75,,,,
46,66.54,,,,
47,66.33,,,,
48,66.14,,,,
49,65.95,,,,
50,65.78,,,,
51,65.63,,,,
52,65.48,,,,
53,65.35,,,,
54,65.22,,,,
55,65.11,,,,
56,65.0,,,,
57,64.9,,,,
