Epoch,Greedy,RoundRobin,Alternation,TemPo,MFU
0,24,24,16,24,24
1,24,24,16,24,24
2,24,24,16,24,24
3,24,24,16,24,24
4,24,24,16,24,24
5,24,24,16,24,24
6,24,24,16,24,24
7,24,24,16,24,24
8,24,24,16,24,24
9,24,24,16,24,24
10,24,24,16,24,24
11,24,24,16,24,24
12,24,24,16,24,24
13,24,24,16,24,24
14,24,24,16,24,24
15,16,24,16,16,16
16,16,24,16,16,16
17,16,24,16,16,16
18,16,24,16,16,16
19,16,24,16,16,16
20,16,24,16,16,16
21,16,24,16,16,16
22,16,24,16,16,16
23,16,24,16,16,16
24,16,24,16,16,16
25,16,24,16,16,16
26,16,24,16,16,16
27,16,24,16,16,16
28,16,24,16,16,16
29,16,24,16,16,16
30,16,24,16,16,16
31,16,24,16,16,16
32,16,24,16,16,16
33,16,24,16,16,16
34,16,24,16,16,16
35,16,24,16,16,16
36,16,24,16,16,16
37,16,24,16,16,16
38,16,24,16,16,16
39,16,24,16,16,16
40,16,24,16,16,16
41,16,24,16,16,16
42,16,24,16,16,16
43,16,24,16,16,16
44,8,,16,8,8
45,8,,,,
46,8,,,,
47,8,,,,
48,8,,,,
49,8,,,,
50,8,,,,
51,8,,,,
52,8,,,,
53,8,,,,
54,8,,,,
55,8,,,,
56,8,,,,
57,8,,,,
