Epoch,RoundRobin,Alternation,MFU,Greedy,TemPo
0,70.07,70.07,70.07,70.07,70.07
1,71.26,70.99,69.95,69.94,69.94
2,72.03,70.37,71.13,69.86,71.12
3,72.51,70.19,71.88,69.76,71.88
4,71.82,69.75,72.6,69.66,72.6
5,71.86,69.58,73.21,69.55,73.21
6,72.7,69.18,73.81,69.46,73.83
7,73.14,69.06,74.33,69.38,74.36
8,72.45,68.69,74.79,69.31,74.87
9,72.45,69.17,75.25,69.24,75.31
10,73.25,68.69,75.67,69.18,75.78
11,73.65,68.61,76.06,69.13,76.15
12,72.94,68.29,76.44,69.09,76.58
13,72.92,68.78,76.77,69.04,76.9
14,73.7,68.35,77.1,69.0,77.27
15,74.08,68.29,77.38,68.96,76.27
16,73.35,67.99,77.66,69.25,76.02
17,73.31,67.96,77.99,70.37,76.59
18,74.08,67.69,78.29,71.21,76.99
19,74.41,67.68,78.6,71.98,77.31
20,73.66,67.36,78.86,72.71,77.66
21,73.6,67.37,79.09,73.37,77.98
22,74.37,67.14,79.08,73.97,78.29
23,74.69,67.17,77.83,74.53,78.57
24,73.92,66.96,76.94,75.06,78.83
25,73.84,67.57,76.53,75.54,79.07
26,74.57,67.16,77.05,76.01,79.06
27,74.87,67.18,77.38,76.43,77.83
28,74.09,66.98,77.66,76.84,76.96
29,74.02,67.02,77.96,77.21,76.55
30,74.75,66.83,78.22,77.56,77.09
31,75.05,66.89,78.47,77.91,77.4
32,74.27,66.64,78.73,78.22,77.71
33,74.19,66.7,78.98,78.51,78.01
34,74.91,66.54,79.22,78.79,78.29
35,75.21,66.62,78.02,79.03,78.55
36,74.41,66.46,76.91,78.68,78.53
37,74.33,66.55,76.26,78.47,78.45
38,75.03,66.39,76.54,78.22,78.37
39,75.33,66.49,76.61,78.04,78.33
40,74.55,66.34,76.7,77.85,78.28
41,74.45,66.44,76.78,77.72,78.23
42,75.16,66.29,76.84,77.59,78.18
43,75.45,66.39,76.89,77.5,78.14
44,74.65,66.26,76.96,77.42,78.11
45,74.54,66.36,77.02,77.24,78.09
46,75.26,66.22,77.08,77.05,78.05
47,75.54,66.88,77.13,76.83,77.93
48,74.67,66.59,77.16,76.64,77.73
49,74.5,66.68,77.18,76.46,77.54
50,75.14,66.51,77.19,76.29,77.38
51,75.41,66.6,77.22,76.13,77.19
52,74.55,66.44,77.14,76.0,77.03
53,74.38,66.53,77.0,75.93,76.87
54,75.02,66.38,76.85,75.83,76.73
55,75.31,66.48,76.69,75.76,76.61
56,74.45,66.33,76.57,75.7,76.49
57,74.3,67.0,76.43,75.64,76.38
58,74.95,66.71,76.31,75.59,76.28
59,75.25,66.79,76.2,75.54,76.19
60,74.4,66.62,76.1,75.47,76.1
61,74.25,66.7,76.0,75.44,76.02
62,74.83,66.54,75.93,75.41,75.95
63,75.15,66.63,75.87,75.37,75.89
64,74.32,66.48,75.79,75.34,75.82
65,74.18,67.11,75.72,75.3,75.76
66,74.86,66.82,75.67,75.28,75.71
67,75.17,67.44,75.61,75.25,75.67
68,74.33,67.09,75.57,75.23,75.62
69,74.2,67.14,75.53,75.21,75.58
70,74.87,66.88,75.49,75.19,75.55
71,75.18,66.93,75.44,75.17,
72,74.35,66.68,,75.15,
73,74.21,66.75,,75.13,
74,74.89,66.51,,75.13,
75,75.2,66.59,,75.12,
76,74.37,66.37,,75.1,
77,74.24,66.46,,75.1,
78,74.92,66.25,,75.08,
79,75.24,66.35,,75.09,
80,74.4,66.15,,75.09,
81,74.27,66.26,,75.08,
82,74.93,66.06,,75.06,
83,75.25,66.18,,,
84,74.42,65.99,,,
85,74.28,66.11,,,
86,74.95,65.92,,,
87,75.27,66.05,,,
88,74.43,65.87,,,
89,74.3,66.0,,,
90,74.66,65.82,,,
91,,65.96,,,
92,,65.78,,,
93,,65.92,,,
94,,65.75,,,
95,,65.89,,,
96,,65.72,,,
97,,65.86,,,
98,,65.7,,,
99,,65.84,,,
100,,65.67,,,
101,,65.82,,,
102,,65.66,,,
103,,65.8,,,
104,,65.64,,,
105,,65.79,,,
106,,65.63,,,
107,,65.77,,,
108,,65.61,,,
109,,65.76,,,
110,,65.6,,,
111,,65.75,,,
112,,65.6,,,
113,,65.74,,,
114,,65.59,,,
115,,65.74,,,
116,,65.58,,,
117,,65.73,,,
118,,65.58,,,
119,,65.73,,,
120,,65.57,,,
121,,65.72,,,
122,,65.57,,,
123,,65.72,,,
124,,65.57,,,
125,,65.72,,,
126,,65.56,,,
127,,65.71,,,
128,,65.56,,,
129,,65.71,,,
130,,65.56,,,
131,,65.71,,,
132,,65.55,,,
133,,65.71,,,
134,,65.55,,,
135,,65.7,,,
136,,65.55,,,
137,,65.7,,,
138,,65.55,,,
