                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100100902 |  100068038 |  100064018 |  100065098 |  100069127 |  100061862 |  100058816 |  100065482 |  100059453 |  100050104 |  100064860 |  100052457 |  100065808 |  100068480 |  100055785 |  100058825 |  100064077 |  100057533 |  100056265 |  100057399 |  100048860 |  100051056 |  100065317 |  100062712 |  100061244 |  100060548 |  100059863 |  100054402 |  100068276 |  100059848 |  100059755 |  100101380
  Cycles                             |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920 |   72511920
  IPC                                |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38 |       1.38
  Time (ns)                          |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200 |   20142200
  Idle time (ns)                     |         89 |         23 |         37 |         39 |         26 |         52 |        100 |         19 |         -0 |         47 |          3 |         38 |         52 |         51 |         54 |         31 |         63 |         23 |         26 |         31 |         46 |         40 |         34 |         14 |         14 |         64 |         67 |         10 |         37 |         53 |         28 |         26
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10173075 |   10170201 |   10169835 |   10169952 |   10170294 |   10169645 |   10169340 |   10169994 |   10169391 |   10168632 |   10169925 |   10168879 |   10170045 |   10170240 |   10169117 |   10169341 |   10169838 |   10169257 |   10169154 |   10169244 |   10168507 |   10168711 |   10169968 |   10169726 |   10169571 |   10169504 |   10169431 |   10169009 |   10170224 |   10169430 |   10169426 |   10173105
  num incorrect                      |     852418 |     852219 |     852196 |     852205 |     852226 |     852187 |     852168 |     852209 |     852175 |     852114 |     852204 |     852132 |     852210 |     852222 |     852152 |     852168 |     852197 |     852164 |     852154 |     852164 |     852109 |     852119 |     852207 |     852191 |     852184 |     852178 |     852176 |     852144 |     852221 |     852176 |     852176 |     852422
  misprediction rate                 |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73% |      7.73%
  mpki                               |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52 |       8.52
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
