                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101397 |   99783337 |   99531588 |   99535468 |   99616663 |   99724938 |   99649488 |   99534963 |   99779309 |   99624399 |   99512828 |   99483258 |   99932600 |   99795903 |   99783148 |  100004561 |  100066380 |   99767270 |   99603452 |   99508512 |   99533412 |   99731685 |   99612084 |   99520649 |   99647424 |   99652812 |   99584359 |   99554610 |   99877488 |   99733524 |   99889579 |  100075884
  Cycles                             |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920 |   74446920
  IPC                                |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34
  Time (ns)                          |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700 |   20679700
  Idle time (ns)                     |         73 |         65 |         55 |         68 |         62 |         65 |         76 |         65 |         54 |         55 |         43 |         62 |         45 |         65 |         59 |         69 |        -51 |         55 |         78 |         56 |         74 |         61 |         60 |         62 |         87 |         48 |         67 |         68 |         64 |         64 |         40 |         91
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    9533819 |    9503475 |    9479499 |    9479866 |    9487601 |    9497910 |    9490724 |    9479819 |    9503089 |    9488330 |    9477710 |    9474894 |    9517686 |    9504673 |    9503450 |    9524546 |    9530478 |    9501938 |    9486342 |    9477296 |    9479668 |    9498554 |    9487165 |    9478456 |    9490532 |    9491036 |    9484522 |    9481691 |    9512442 |    9498732 |    9513588 |    9531342
  num incorrect                      |        264 |        246 |        246 |        246 |        246 |        246 |        246 |        246 |        246 |        246 |        246 |        246 |        246 |        246 |        246 |        246 |        255 |        246 |        246 |        246 |        246 |        246 |        246 |        246 |        246 |        246 |        246 |        246 |        246 |        246 |        246 |        255
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8928512 |    8898737 |    8876315 |    8876660 |    8883892 |    8893535 |    8886814 |    8876614 |    8898378 |    8884578 |    8874644 |    8872010 |    8912030 |    8899857 |    8898717 |    8918441 |    8924013 |    8897303 |    8882716 |    8874258 |    8876476 |    8894136 |    8883484 |    8875341 |    8886633 |    8887108 |    8881014 |    8878366 |    8907123 |    8894301 |    8908198 |    8925741
    num misses                       |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19
