                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101373 |   97213012 |   97066202 |   97014702 |   97015254 |   97012741 |   96971526 |   96975808 |   96663666 |   96993874 |   96976166 |   96978421 |   96965749 |   96970287 |   96968472 |   96967273 |   96922218 |   97041227 |   97091004 |   97074783 |   96959609 |   96958063 |   96939758 |   96934382 |   96801011 |   96991549 |   96965118 |   96959296 |   96997037 |   96992847 |   97233113 |  100018041
  Cycles                             |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640 |  110501640
  IPC                                |       0.91 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.87 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.88 |       0.91
  Time (ns)                          |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900 |   30694900
  Idle time (ns)                     |          9 |         36 |         50 |         -5 |         -0 |         -0 |          3 |         -0 |        -27 |         -0 |         -2 |         -0 |         -7 |        -37 |         -0 |         -0 |        -17 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         29 |        -26 |         -0 |        -12 |         -0 |         42 |         -4
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    5637095 |    5331605 |    5315342 |    5310155 |    5310198 |    5309943 |    5305725 |    5306144 |    5273090 |    5308189 |    5306177 |    5306379 |    5305155 |    5305605 |    5305376 |    5305278 |    5300214 |    5312832 |    5318148 |    5316308 |    5304382 |    5304181 |    5302325 |    5301767 |    5287461 |    5307909 |    5305097 |    5304341 |    5308463 |    5308080 |    5333769 |    5628218
  num incorrect                      |     230126 |     222189 |     221819 |     221646 |     221647 |     221640 |     221524 |     221539 |     220674 |     221574 |     221543 |     221555 |     221510 |     221520 |     221517 |     221515 |     221404 |     221730 |     221878 |     221838 |     221503 |     221503 |     221435 |     221411 |     221061 |     221572 |     221504 |     221503 |     221590 |     221572 |     222239 |     229903
  misprediction rate                 |      3.92% |      4.00% |      4.01% |      4.01% |      4.01% |      4.01% |      4.01% |      4.01% |      4.02% |      4.01% |      4.01% |      4.01% |      4.01% |      4.01% |      4.01% |      4.01% |      4.01% |      4.01% |      4.00% |      4.01% |      4.01% |      4.01% |      4.01% |      4.01% |      4.01% |      4.01% |      4.01% |      4.01% |      4.01% |      4.01% |      4.00% |      3.92%
