                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100001396 |   98964369 |   98916487 |   98938163 |   98965307 |   98923872 |   98941732 |   98958517 |   98904466 |   98922828 |   98978778 |   98890362 |   98975206 |   98909365 |   98927677 |   98988576 |   99032125 |   98918766 |   98926238 |   98952643 |   98943231 |   98927715 |   98984649 |   99004252 |   98918136 |   98954799 |   98984112 |   98888328 |   98935591 |   98916717 |   98967305 |   99994736
  Cycles                             |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640 |   51623640
  IPC                                |       1.94 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.94
  Time (ns)                          |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900 |   14339900
  Idle time (ns)                     |        -12 |        -17 |        -27 |        -17 |        -17 |        -19 |        -13 |        -16 |        -19 |        -13 |        -18 |         -1 |        -60 |        -16 |        -18 |        -15 |        -20 |         -7 |        -19 |        -30 |        -17 |        -17 |        -18 |        -17 |        -71 |        -11 |        -19 |        -15 |        -65 |        -55 |        -18 |        -15
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    3440211 |    3396569 |    3394203 |    3395270 |    3396618 |    3394568 |    3395441 |    3396269 |    3393591 |    3394522 |    3397306 |    3392914 |    3397122 |    3393839 |    3394739 |    3397811 |    3400048 |    3394319 |    3394674 |    3395968 |    3395508 |    3394740 |    3397609 |    3398617 |    3394286 |    3396079 |    3397581 |    3392809 |    3395138 |    3394213 |    3396722 |    3439853
  num incorrect                      |      67907 |      67621 |      67615 |      67617 |      67621 |      67616 |      67618 |      67621 |      67611 |      67616 |      67621 |      67606 |      67621 |      67612 |      67616 |      67621 |      67625 |      67615 |      67616 |      67619 |      67618 |      67616 |      67621 |      67622 |      67615 |      67619 |      67621 |      67606 |      67617 |      67615 |      67621 |      67907
  misprediction rate                 |      1.94% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.95% |      1.94%
