                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101414 |  100056448 |  100045865 |  100051302 |  100050224 |  100053448 |  100063222 |  100049347 |  100060534 |  100051404 |  100050731 |  100049167 |  100045257 |  100061364 |  100062941 |  100052040 |  100059206 |  100060016 |  100043763 |  100063083 |  100056579 |  100056879 |  100061481 |  100052325 |  100057750 |  100057388 |  100052102 |  100053936 |  100051674 |  100054253 |  100053093 |  100088899
  Cycles                             |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360 |   75024360
  IPC                                |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33 |       1.33
  Time (ns)                          |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100 |   20840100
  Idle time (ns)                     |        -22 |        -41 |        -36 |        -37 |        -35 |         -0 |        -27 |        -40 |        -21 |        -26 |        -37 |        -41 |        -34 |        -24 |        -31 |        -16 |        -50 |        -31 |        -58 |        -65 |        -58 |        -41 |        -33 |        -22 |        -34 |        -16 |        -21 |        -26 |        -46 |        -17 |        -27 |        -39
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    9359829 |    9355964 |    9355059 |    9355582 |    9355504 |    9355745 |    9356543 |    9355438 |    9356266 |    9355587 |    9355534 |    9355427 |    9355008 |    9356361 |    9356524 |    9355632 |    9356170 |    9356226 |    9354896 |    9356538 |    9355972 |    9355987 |    9356385 |    9355652 |    9356062 |    9356038 |    9355635 |    9355783 |    9355609 |    9355799 |    9355719 |    9358806
  num incorrect                      |     793984 |     793615 |     793551 |     793588 |     793581 |     793600 |     793661 |     793579 |     793635 |     793589 |     793583 |     793579 |     793550 |     793641 |     793659 |     793592 |     793630 |     793634 |     793542 |     793660 |     793616 |     793617 |     793642 |     793594 |     793624 |     793622 |     793593 |     793602 |     793591 |     793603 |     793599 |     793914
  misprediction rate                 |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82% |      7.82%
  mpki                               |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93 |       7.93
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   13856121 |   13849671 |   13848170 |   13848936 |   13848773 |   13849237 |   13850659 |   13848658 |   13850271 |   13848949 |   13848850 |   13848634 |   13848077 |   13850383 |   13850616 |   13849024 |   13850075 |   13850188 |   13847867 |   13850638 |   13849686 |   13849739 |   13850403 |   13849077 |   13849865 |   13849807 |   13849036 |   13849297 |   13848984 |   13849336 |   13849190 |   13854388
    num misses                       |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39 |         39
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   60239608 |   60210146 |   60202933 |   60206280 |   60205410 |   60207835 |   60214765 |   60204854 |   60213271 |   60206348 |   60205849 |   60204734 |   60202493 |   60213758 |   60214597 |   60206729 |   60212256 |   60212887 |   60201379 |   60214667 |   60210225 |   60210524 |   60213805 |   60207042 |   60211150 |   60210908 |   60206801 |   60208131 |   60206515 |   60208342 |   60207601 |   60230694
    num misses                       |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19
