                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101347 |   99806841 |   99474758 |   99471502 |   99252543 |   99260515 |   99334432 |   99335787 |   99539785 |   99543046 |   99352401 |   99387088 |   99425413 |   99413608 |   98358168 |   98344370 |   97992241 |   97985957 |   99425413 |   99429889 |   99365831 |   99352283 |   99297474 |   99299239 |   99449019 |   99443321 |   99320903 |   99314581 |   99170729 |   99161848 |   99061941 |   99910311
  Cycles                             |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160 |  532667160
  IPC                                |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.18 |       0.18 |       0.18 |       0.18 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100 |  147963100
  Idle time (ns)                     |        222 |         32 |         44 |          5 |        260 |        -44 |         98 |        200 |        258 |        140 |         25 |         72 |         45 |         95 |        146 |        200 |         50 |        259 |        199 |         -7 |        123 |        270 |        243 |         71 |        112 |        -32 |        186 |        238 |        222 |        154 |        110 |         23
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     876475 |     874305 |     871759 |     871735 |     869978 |     870055 |     870643 |     870652 |     872262 |     872296 |     870804 |     871060 |     871383 |     871296 |     862805 |     862691 |     859909 |     859861 |     871383 |     871416 |     870903 |     870802 |     870353 |     870368 |     871557 |     871515 |     870528 |     870479 |     869328 |     869264 |     868475 |     875069
  num incorrect                      |      31164 |      31152 |      31119 |      31119 |      31089 |      31091 |      31101 |      31101 |      31125 |      31128 |      31104 |      31107 |      31113 |      31113 |      30941 |      30934 |      30887 |      30887 |      31113 |      31113 |      31104 |      31104 |      31095 |      31095 |      31113 |      31113 |      31098 |      31095 |      31077 |      31075 |      31063 |      31157
  misprediction rate                 |      3.43% |      3.44% |      3.45% |      3.45% |      3.45% |      3.45% |      3.45% |      3.45% |      3.45% |      3.45% |      3.45% |      3.45% |      3.45% |      3.45% |      3.46% |      3.46% |      3.47% |      3.47% |      3.45% |      3.45% |      3.45% |      3.45% |      3.45% |      3.45% |      3.45% |      3.45% |      3.45% |      3.45% |      3.45% |      3.45% |      3.45% |      3.44%
  mpki                               |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.32 |       0.32 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8582814 |    8558195 |    8530283 |    8530011 |    8511497 |    8512187 |    8518431 |    8518543 |    8535756 |    8536044 |    8519973 |    8522875 |    8526137 |    8525151 |    8435834 |    8434657 |    8404937 |    8404411 |    8526137 |    8526511 |    8521095 |    8519963 |    8515315 |    8515463 |    8528109 |    8527633 |    8517277 |    8516744 |    8504585 |    8503841 |    8495411 |    8566848
    num misses                       |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   44771696 |   44645636 |   44502137 |   44500745 |   44405144 |   44408765 |   44440985 |   44441562 |   44530306 |   44531848 |   44449034 |   44463902 |   44480828 |   44475782 |   44014286 |   44008161 |   43854896 |   43852210 |   44480828 |   44482742 |   44454776 |   44448981 |   44424932 |   44425688 |   44490920 |   44488484 |   44434988 |   44432246 |   44369469 |   44365655 |   44322200 |   44689959
    num misses                       |      96992 |      96780 |      96526 |      96524 |      96343 |      96352 |      96411 |      96411 |      96577 |      96582 |      96428 |      96454 |      96489 |      96481 |      95597 |      95585 |      95299 |      95296 |      96489 |      96494 |      96438 |      96428 |      96383 |      96383 |      96506 |      96501 |      96399 |      96394 |      96276 |      96269 |      96188 |      96857
