                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |   99993933 |   99640184 |   99646428 |   99644687 |   99641710 |   99639888 |   99635550 |   99636712 |   99636161 |   99638350 |   99649194 |   99634272 |   99649267 |   99655072 |   99639469 |   99651255 |   99648575 |   99637699 |   99639479 |   99638686 |   99637110 |   99635756 |   99639633 |   99642174 |   99630718 |   99635979 |   99644668 |   99641730 |   99640588 |   99639942 |   99644802 |  100001408
  Cycles                             |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840 |   45096840
  IPC                                |       2.22 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.21 |       2.22
  Time (ns)                          |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900 |   12526900
  Idle time (ns)                     |         -0 |         -0 |         -0 |         -0 |        -12 |         -2 |         -2 |         -1 |         -1 |         -0 |         -0 |         -2 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -2 |         -0 |         -0 |         -1 |        -16 |         -1 |         17
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    4104775 |    4090443 |    4090587 |    4090556 |    4090465 |    4090441 |    4090259 |    4090323 |    4090292 |    4090402 |    4090665 |    4090189 |    4090665 |    4090719 |    4090438 |    4090686 |    4090660 |    4090372 |    4090438 |    4090419 |    4090345 |    4090270 |    4090439 |    4090487 |    4090000 |    4090282 |    4090556 |    4090465 |    4090446 |    4090441 |    4090558 |    4105182
  num incorrect                      |      21484 |      21374 |      21375 |      21375 |      21375 |      21374 |      21371 |      21371 |      21371 |      21373 |      21375 |      21371 |      21375 |      21376 |      21373 |      21375 |      21375 |      21373 |      21373 |      21373 |      21371 |      21371 |      21373 |      21375 |      21370 |      21371 |      21375 |      21375 |      21374 |      21374 |      21375 |      21484
  misprediction rate                 |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52% |      0.52%
