                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100100898 |  100093373 |  100088841 |  100087383 |  100091660 |  100081374 |  100089901 |  100088246 |  100093314 |  100086246 |  100089486 |  100094539 |  100084175 |  100090232 |  100094982 |  100096455 |  100090538 |  100091888 |  100089362 |  100087782 |  100090456 |  100084936 |  100090258 |  100087625 |  100092451 |  100083900 |  100092672 |  100093903 |  100089300 |  100092657 |  100090308 |  100101453
  Cycles                             |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040 |   73247040
  IPC                                |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37 |       1.37
  Time (ns)                          |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400 |   20346400
  Idle time (ns)                     |         -3 |        -34 |        -61 |        -53 |        -34 |        -32 |        -46 |        -24 |        -68 |        -51 |        -42 |        -31 |        -28 |        -46 |        -31 |        -46 |        -37 |        -14 |        -24 |        -16 |        -18 |        -33 |        -35 |        -36 |        -69 |         -2 |        -59 |        -59 |        -24 |        -51 |        -43 |        -43
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8709751 |    8709173 |    8708733 |    8708615 |    8709047 |    8708132 |    8708855 |    8708681 |    8709166 |    8708527 |    8708820 |    8709269 |    8708358 |    8708875 |    8709302 |    8709407 |    8708920 |    8709077 |    8708800 |    8708642 |    8708904 |    8708416 |    8708882 |    8708635 |    8709116 |    8708334 |    8709136 |    8709219 |    8708793 |    8709135 |    8708893 |    8709782
  num incorrect                      |     609209 |     609179 |     609150 |     609147 |     609167 |     609130 |     609154 |     609148 |     609177 |     609143 |     609152 |     609183 |     609137 |     609156 |     609185 |     609194 |     609158 |     609167 |     609152 |     609148 |     609157 |     609140 |     609156 |     609148 |     609170 |     609135 |     609170 |     609181 |     609150 |     609170 |     609156 |     609212
  misprediction rate                 |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54% |      6.54%
