                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101392 |   92563586 |   92732931 |   92761848 |   92686787 |   92787491 |   92786072 |   92781158 |   92724431 |   92718536 |   92705203 |   92717572 |   92746516 |   92733183 |   92731988 |   92220853 |   92210424 |   92729814 |   92715137 |   92761610 |   92694340 |   92787614 |   92783306 |   92789552 |   92716184 |   92714599 |   92707161 |   92717652 |   92747743 |   92737009 |   92570738 |  100092216
  Cycles                             |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680 |  140683680
  IPC                                |       0.71 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.71
  Time (ns)                          |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800 |   39078800
  Idle time (ns)                     |         44 |         22 |         87 |         -0 |         38 |         31 |         13 |        -20 |         89 |          9 |         38 |         58 |         86 |         27 |          5 |         -6 |         -0 |         49 |          9 |        -22 |         68 |         44 |         -4 |         24 |         -5 |        -23 |         27 |        -29 |          1 |          5 |        -21 |        -31
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   13150276 |   12186594 |   12209118 |   12212958 |   12202988 |   12216363 |   12216176 |   12215522 |   12207992 |   12207210 |   12205433 |   12207081 |   12210925 |   12209155 |   12208995 |   12141072 |   12139680 |   12208708 |   12206759 |   12212927 |   12203989 |   12216378 |   12215807 |   12216636 |   12206897 |   12206672 |   12205692 |   12207092 |   12211086 |   12209661 |   12187543 |   13149060
  num incorrect                      |      44001 |      39229 |      39236 |      39236 |      39231 |      39236 |      39236 |      39236 |      39236 |      39236 |      39231 |      39236 |      39236 |      39236 |      39236 |      39220 |      39214 |      39236 |      39236 |      39236 |      39231 |      39236 |      39236 |      39236 |      39236 |      39236 |      39231 |      39236 |      39236 |      39236 |      39229 |      44001
  misprediction rate                 |      0.33% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.33%
  mpki                               |       0.44 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.43 |       0.43 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.44
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15244632 |   14112366 |   14137925 |   14142275 |   14130940 |   14146134 |   14145919 |   14145182 |   14136647 |   14135760 |   14133709 |   14135614 |   14139967 |   14137962 |   14137784 |   14060725 |   14059113 |   14137456 |   14135247 |   14142241 |   14132076 |   14146152 |   14145505 |   14146443 |   14135407 |   14135157 |   14134005 |   14135628 |   14140153 |   14138538 |   14113444 |   15243253
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   68068976 |   62957520 |   63072914 |   63092618 |   63041491 |   63110093 |   63109122 |   63105777 |   63067122 |   63063102 |   63054040 |   63062448 |   63082168 |   63073083 |   63072269 |   62724003 |   62716918 |   63070787 |   63060782 |   63092457 |   63046639 |   63110175 |   63107241 |   63111497 |   63061503 |   63060409 |   63055375 |   63062503 |   63083007 |   63075692 |   62962395 |   68062724
    num misses                       |     386662 |     377711 |     377910 |     377952 |     377848 |     377970 |     377969 |     377967 |     377899 |     377894 |     377857 |     377894 |     377926 |     377910 |     377910 |     377292 |     377265 |     377908 |     377887 |     377951 |     377849 |     377970 |     377968 |     377971 |     377894 |     377886 |     377858 |     377894 |     377926 |     377914 |     377720 |     386655
    miss rate                        |      0.57% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.60% |      0.57%
    mpki                             |       3.86 |       4.08 |       4.08 |       4.07 |       4.08 |       4.07 |       4.07 |       4.07 |       4.08 |       4.08 |       4.08 |       4.08 |       4.07 |       4.08 |       4.08 |       4.09 |       4.09 |       4.08 |       4.08 |       4.07 |       4.08 |       4.07 |       4.07 |       4.07 |       4.08 |       4.08 |       4.08 |       4.08 |       4.07 |       4.08 |       4.08 |       3.86
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     386683 |     377732 |     377931 |     377973 |     377869 |     377991 |     377990 |     377988 |     377920 |     377915 |     377878 |     377915 |     377947 |     377931 |     377931 |     377313 |     377286 |     377929 |     377908 |     377972 |     377870 |     377991 |     377989 |     377992 |     377915 |     377907 |     377879 |     377915 |     377947 |     377935 |     377741 |     386676
    num misses                       |      61240 |      59439 |      59461 |      59463 |      59454 |      59466 |      59465 |      59465 |      59460 |      59459 |      59455 |      59459 |      59462 |      59461 |      59461 |      59402 |      59400 |      59461 |      59457 |      59463 |      59454 |      59466 |      59465 |      59466 |      59459 |      59457 |      59455 |      59459 |      59462 |      59461 |      59440 |      61239
    miss rate                        |     15.84% |     15.74% |     15.73% |     15.73% |     15.73% |     15.73% |     15.73% |     15.73% |     15.73% |     15.73% |     15.73% |     15.73% |     15.73% |     15.73% |     15.73% |     15.74% |     15.74% |     15.73% |     15.73% |     15.73% |     15.73% |     15.73% |     15.73% |     15.73% |     15.73% |     15.73% |     15.73% |     15.73% |     15.73% |     15.73% |     15.74% |     15.84%
    mpki                             |       0.61 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.61
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
