                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101377 |   99612867 |   99613392 |   99613711 |   99611030 |   99612127 |   99615889 |   99613260 |   99625557 |   99625404 |   99630082 |   99630188 |   99621104 |   99621467 |   99614937 |   99615933 |   99613095 |   99613392 |   99623835 |   99622840 |   99608824 |   99609265 |   99611800 |   99611390 |   99612523 |   99611390 |   99619710 |   99618572 |   99614319 |   99614144 |   99613865 |  100091634
  Cycles                             |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600 |   53094600
  IPC                                |       1.89 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.89
  Time (ns)                          |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500 |   14748500
  Idle time (ns)                     |        -42 |        -50 |        -20 |         -0 |        -44 |        -40 |        -49 |        -40 |        -28 |        -62 |        -33 |        -57 |        -45 |        -28 |        -40 |        -40 |        -45 |        -26 |        -42 |        -56 |        -51 |         -8 |        -43 |        -27 |        -56 |        -37 |        -33 |        -38 |        -53 |        -44 |        -62 |        -48
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   21686590 |   21580500 |   21580620 |   21580690 |   21580083 |   21580334 |   21581185 |   21580590 |   21583380 |   21583344 |   21584406 |   21584430 |   21582368 |   21582451 |   21580968 |   21581196 |   21580551 |   21580620 |   21582988 |   21582763 |   21579867 |   21579909 |   21580259 |   21580165 |   21580421 |   21580165 |   21582051 |   21581793 |   21580829 |   21580789 |   21580725 |   21684380
  num incorrect                      |      61687 |      61406 |      61406 |      61407 |      61405 |      61405 |      61407 |      61406 |      61407 |      61407 |      61407 |      61407 |      61407 |      61407 |      61407 |      61407 |      61406 |      61406 |      61407 |      61407 |      61388 |      61392 |      61405 |      61405 |      61406 |      61405 |      61407 |      61407 |      61407 |      61407 |      61407 |      61687
  misprediction rate                 |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28%
