                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101415 |  100093902 |  100093256 |  100094913 |  100093549 |  100092356 |   99907839 |   99917897 |   99896018 |   99891485 |   90907464 |   22752280 |   23037896 |   22980376 |   23096159 |   22300561 |   49760749 |   49763974 |   49754256 |   49756963 |   49761077 |   49758028 |   14728495 |   14729923 |   14776433 |   14777891 |   14561186 |   14456152 |   14240035 |   14242884 |   14278369 |   14278784
  Cycles                             |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920 |   75958920
  IPC                                |       1.32 |       1.32 |       1.32 |       1.32 |       1.32 |       1.32 |       1.32 |       1.32 |       1.32 |       1.32 |       1.20 |       0.30 |       0.30 |       0.30 |       0.30 |       0.29 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.66 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700 |   21099700
  Idle time (ns)                     |        351 |        324 |        337 |        304 |        312 |        356 |        300 |        351 |        347 |        300 |        300 |        234 |        216 |        254 |        128 |         94 |        292 |        318 |        300 |        276 |        367 |        375 |        235 |        277 |        -80 |        200 |        381 |        191 |        -43 |        282 |        105 |         60
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8893391 |    8892703 |    8892661 |    8892784 |    8892678 |    8892593 |    8875597 |    8876506 |    8874561 |    8874179 |    8074643 |    2977023 |    3014423 |    3007124 |    3021139 |    2921199 |    6526522 |    6526949 |    6525659 |    6526019 |    6526566 |    6526162 |     172099 |     172111 |     172806 |     172834 |     170026 |     168618 |     166069 |     166088 |     166488 |     166506
  num incorrect                      |     686974 |     686922 |     686920 |     686926 |     686920 |     686915 |     685402 |     685492 |     685293 |     685256 |     623151 |       3957 |       4027 |       3969 |       4186 |       3535 |       8344 |       8344 |       8344 |       8344 |       8344 |       8344 |      16218 |      16218 |      16299 |      16302 |      16058 |      15967 |      15759 |      15761 |      15790 |      15790
  misprediction rate                 |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.16% |      0.13% |      0.13% |      0.13% |      0.14% |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      8.61% |      8.61% |      8.62% |      8.62% |      8.63% |      8.65% |      8.67% |      8.67% |      8.66% |      8.66%
