                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101393 |   93084675 |   92726350 |   92723084 |   92720808 |   92720308 |   92714759 |   92712422 |   92721591 |   92721026 |   92716634 |   92717161 |   92713454 |   92713753 |   92927712 |   92941521 |   92931016 |   92923151 |   92726198 |   92721710 |   92712944 |   92713508 |   92719633 |   92713975 |   92730941 |   92731716 |   92721351 |   92718512 |   92714774 |   92718484 |   93035788 |  100089168
  Cycles                             |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920 |  192265920
  IPC                                |       0.52 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.48 |       0.52
  Time (ns)                          |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200 |   53407200
  Idle time (ns)                     |         60 |         20 |          9 |         82 |         88 |         -5 |        -25 |         51 |        -11 |        -11 |         60 |         75 |        -46 |        -48 |        100 |         46 |          5 |         49 |        100 |         80 |         28 |         17 |         96 |         70 |         89 |          6 |         53 |         18 |         -5 |         66 |         53 |         -0
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   13362387 |   12436036 |   12379316 |   12378998 |   12378797 |   12378740 |   12378235 |   12378019 |   12378866 |   12378811 |   12378428 |   12378469 |   12378107 |   12378139 |   12404756 |   12407423 |   12405393 |   12403891 |   12379302 |   12378883 |   12378076 |   12378114 |   12378686 |   12378161 |   12379701 |   12379775 |   12378852 |   12378575 |   12378237 |   12378573 |   12426072 |   13361210
  num incorrect                      |    2128621 |    1982372 |    1972721 |    1972671 |    1972634 |    1972625 |    1972552 |    1972522 |    1972646 |    1972638 |    1972576 |    1972585 |    1972537 |    1972542 |    1977089 |    1977614 |    1977216 |    1976904 |    1972719 |    1972647 |    1972530 |    1972537 |    1972612 |    1972545 |    1972799 |    1972812 |    1972644 |    1972601 |    1972552 |    1972601 |    1980768 |    2128484
  misprediction rate                 |     13.74% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.75% |     13.74%
  mpki                               |      21.26 |      21.30 |      21.27 |      21.27 |      21.27 |      21.28 |      21.28 |      21.28 |      21.27 |      21.27 |      21.28 |      21.28 |      21.28 |      21.28 |      21.28 |      21.28 |      21.28 |      21.27 |      21.27 |      21.27 |      21.28 |      21.28 |      21.28 |      21.28 |      21.27 |      21.27 |      21.27 |      21.28 |      21.28 |      21.28 |      21.29 |      21.27
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   12522875 |   11639773 |   11596738 |   11596306 |   11596019 |   11595949 |   11595262 |   11594981 |   11596118 |   11596045 |   11595497 |   11595561 |   11595103 |   11595141 |   11620940 |   11622682 |   11621360 |   11620374 |   11596718 |   11596135 |   11595047 |   11595110 |   11595863 |   11595166 |   11597291 |   11597388 |   11596093 |   11595718 |   11595265 |   11595715 |   11633618 |   12521373
    num misses                       |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   35350972 |   32859255 |   32750778 |   32749382 |   32748409 |   32748201 |   32745848 |   32744871 |   32748744 |   32748513 |   32746623 |   32746853 |   32745300 |   32745433 |   32823035 |   32826388 |   32823837 |   32821934 |   32750712 |   32748785 |   32745079 |   32745328 |   32747911 |   32745519 |   32752731 |   32753050 |   32748635 |   32747426 |   32745861 |   32747410 |   32847725 |   35345923
    num misses                       |      26548 |      24586 |      24520 |      24520 |      24520 |      24520 |      24508 |      24507 |      24520 |      24520 |      24509 |      24515 |      24507 |      24507 |      24584 |      24584 |      24584 |      24584 |      24520 |      24520 |      24507 |      24507 |      24520 |      24507 |      24525 |      24525 |      24520 |      24520 |      24508 |      24520 |      24586 |      26547
    miss rate                        |      0.08% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.08%
    mpki                             |       0.27 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.27
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      26556 |      24594 |      24528 |      24528 |      24528 |      24528 |      24516 |      24515 |      24528 |      24528 |      24517 |      24523 |      24515 |      24515 |      24592 |      24592 |      24592 |      24592 |      24528 |      24528 |      24515 |      24515 |      24528 |      24515 |      24533 |      24533 |      24528 |      24528 |      24516 |      24528 |      24594 |      26555
    num misses                       |       3472 |       3071 |       3067 |       3067 |       3067 |       3067 |       3066 |       3066 |       3067 |       3067 |       3066 |       3066 |       3066 |       3066 |       3071 |       3071 |       3071 |       3071 |       3067 |       3067 |       3066 |       3066 |       3067 |       3066 |       3068 |       3068 |       3067 |       3067 |       3066 |       3067 |       3071 |       3471
    miss rate                        |     13.07% |     12.49% |     12.50% |     12.50% |     12.50% |     12.50% |     12.51% |     12.51% |     12.50% |     12.50% |     12.51% |     12.50% |     12.51% |     12.51% |     12.49% |     12.49% |     12.49% |     12.49% |     12.50% |     12.50% |     12.51% |     12.51% |     12.50% |     12.51% |     12.51% |     12.51% |     12.50% |     12.50% |     12.51% |     12.50% |     12.49% |     13.07%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   12522875 |   11639773 |   11596738 |   11596306 |   11596019 |   11595949 |   11595262 |   11594981 |   11596118 |   11596045 |   11595497 |   11595561 |   11595103 |   11595141 |   11620940 |   11622682 |   11621360 |   11620374 |   11596718 |   11596135 |   11595047 |   11595110 |   11595863 |   11595166 |   11597291 |   11597388 |   11596093 |   11595718 |   11595265 |   11595715 |   11633618 |   12521373
