                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100100375 |  100091089 |  100093793 |  100093699 |  100092490 |  100092480 |  100091900 |  100093889 |  100098452 |  100096032 |  100097140 |  100092546 |  100094713 |  100096130 |  100098344 |  100092700 |  100091844 |  100092069 |  100096152 |  100090997 |  100098491 |  100093004 |  100093072 |  100091918 |  100093498 |  100091436 |  100095998 |  100091117 |  100098898 |  100098175 |  100095859 |  100101409
  Cycles                             |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040 |   77450040
  IPC                                |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29
  Time (ns)                          |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900 |   21513900
  Idle time (ns)                     |         -0 |         19 |         11 |         -0 |         -0 |         -9 |        100 |          6 |         -0 |         -0 |          4 |         -0 |         -0 |         11 |         -0 |         -0 |         11 |         29 |         -0 |          7 |         -1 |         20 |         28 |         29 |         -0 |         22 |          8 |          6 |         21 |         -0 |         -0 |         21
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8949347 |    8948540 |    8948745 |    8948735 |    8948646 |    8948645 |    8948605 |    8948755 |    8949211 |    8948939 |    8949059 |    8948648 |    8948809 |    8948948 |    8949179 |    8948666 |    8948596 |    8948619 |    8948956 |    8948531 |    8949212 |    8948689 |    8948691 |    8948606 |    8948718 |    8948570 |    8948939 |    8948545 |    8949242 |    8949159 |    8948921 |    8949421
  num incorrect                      |     737022 |     736971 |     736981 |     736980 |     736976 |     736976 |     736972 |     736981 |     737011 |     736992 |     737001 |     736977 |     736984 |     736994 |     737010 |     736977 |     736972 |     736973 |     736994 |     736971 |     737011 |     736977 |     736978 |     736972 |     736980 |     736972 |     736992 |     736971 |     737012 |     737010 |     736990 |     737026
  misprediction rate                 |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61% |      7.61%
