                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100092765 |   99634381 |   99606692 |   99611602 |   99603300 |   99602128 |   99610604 |   99616106 |   99612392 |   99606425 |   99615437 |   99614318 |   99598295 |   99597391 |   99614874 |   99614893 |   99613171 |   99613230 |   99619431 |   99619960 |   99617010 |   99616646 |   99610553 |   99611824 |   99619810 |   99619200 |   99608309 |   99608056 |   99611680 |   99611487 |   99651066 |  100101375
  Cycles                             |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120 |   53151120
  IPC                                |       1.88 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.87 |       1.88
  Time (ns)                          |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200 |   14764200
  Idle time (ns)                     |         -0 |        -15 |        -41 |        -11 |        -15 |        -18 |        -10 |         -0 |         -8 |         -0 |         -1 |         -1 |         -0 |         -9 |         -3 |        -16 |        -21 |        -21 |         -0 |        -19 |        -34 |         -3 |        -16 |        -29 |        -29 |         -0 |        -18 |         -0 |         -0 |        -12 |        -41 |        -10
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   21702300 |   21603045 |   21596760 |   21597873 |   21596236 |   21596120 |   21597647 |   21598897 |   21598054 |   21596702 |   21598744 |   21598490 |   21595332 |   21595128 |   21598617 |   21598622 |   21598230 |   21598244 |   21599651 |   21599772 |   21599101 |   21599019 |   21597635 |   21597924 |   21599738 |   21599598 |   21597126 |   21597069 |   21597891 |   21597847 |   21606524 |   21704254
  num incorrect                      |      59489 |      59209 |      59208 |      59209 |      59193 |      59184 |      59209 |      59209 |      59209 |      59207 |      59209 |      59209 |      59181 |      59181 |      59209 |      59209 |      59209 |      59209 |      59209 |      59209 |      59209 |      59209 |      59209 |      59209 |      59209 |      59209 |      59209 |      59209 |      59209 |      59209 |      59225 |      59489
  misprediction rate                 |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27%
