                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |   99995741 |   98910453 |   98091478 |   98193447 |   98278476 |   98346192 |   98104122 |   98206426 |   98627977 |   98714679 |   98108659 |   98194646 |   98046716 |   97947115 |   99088245 |   97960529 |   98108659 |   98813373 |   98113365 |   98228322 |   98325047 |   98211914 |   98305754 |   98233358 |   98789119 |   98519888 |   98302033 |   98368202 |   98005939 |   97923731 |   99207709 |  100101403
  Cycles                             |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200 |  933451200
  IPC                                |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.11 |       0.10 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.10 |       0.11 |       0.11
  Time (ns)                          |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000 |  259292000
  Idle time (ns)                     |        112 |         36 |        379 |        642 |        284 |        681 |        278 |        318 |        -18 |        550 |        590 |        587 |        658 |        561 |        402 |        600 |        192 |        345 |        600 |          7 |        533 |        231 |        -14 |        280 |        145 |        682 |        376 |        533 |        626 |        600 |        491 |        611
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1238595 |    1225917 |    1216657 |    1217766 |    1218748 |    1219512 |    1216791 |    1217900 |    1222805 |    1223822 |    1216847 |    1217782 |    1216204 |    1215226 |    1227663 |    1215385 |    1216847 |    1224956 |    1216893 |    1218150 |    1219285 |    1217965 |    1219033 |    1218214 |    1224682 |    1221601 |    1218975 |    1219778 |    1215807 |    1214999 |    1229076 |    1239936
  num incorrect                      |     123037 |     121726 |     120696 |     120850 |     120960 |     121057 |     120718 |     120868 |     121402 |     121493 |     120724 |     120853 |     120650 |     120556 |     121920 |     120569 |     120724 |     121608 |     120730 |     120894 |     121037 |     120877 |     120997 |     120899 |     121580 |     121262 |     120993 |     121083 |     120623 |     120541 |     122063 |     123182
  misprediction rate                 |      9.04% |      9.03% |      9.02% |      9.03% |      9.03% |      9.03% |      9.03% |      9.03% |      9.03% |      9.03% |      9.03% |      9.03% |      9.02% |      9.03% |      9.03% |      9.02% |      9.03% |      9.03% |      9.03% |      9.03% |      9.03% |      9.03% |      9.03% |      9.03% |      9.03% |      9.03% |      9.03% |      9.03% |      9.03% |      9.03% |      9.03% |      9.04%
