                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100077984 |  100044857 |  100065253 |  100101415 |   91154339 |   23145673 |   23121593 |   23099712 |   23125605 |   23117688 |    8592908 |    8597898 |    8653935 |    8657558 |    8577271 |    8516454 |   14817623 |   14818911 |   14790610 |   14790104 |   14521022 |   14488835 |   14389779 |   14388558 |   14327729 |   14327729 |    8661781 |    8649970 |    8588116 |    8580716 |    8631336 |    8720511
  Cycles                             |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160 |   76088160
  IPC                                |       1.32 |       1.31 |       1.32 |       1.32 |       1.20 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600 |   21135600
  Idle time (ns)                     |       1066 |       1094 |       1092 |       1085 |       1084 |        520 |       1074 |        844 |        976 |        549 |        204 |        828 |        263 |        677 |       1093 |        841 |       1034 |       1099 |        706 |        831 |       1009 |       1099 |        895 |        891 |        279 |        -99 |        672 |       1096 |        584 |        935 |       1095 |        703
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8891411 |    8888307 |    8890186 |    8893391 |    8097452 |    3026689 |    3023982 |    3021549 |    3024442 |    3023552 |     100635 |     100684 |     101353 |     101384 |     100452 |      99765 |     173481 |     173521 |     173030 |     173010 |     169434 |     169038 |     167764 |     167754 |     167051 |     167051 |     101444 |     101311 |     100592 |     100479 |     101090 |     102166
  num incorrect                      |     686785 |     686553 |     686721 |     686974 |     625070 |       4310 |       4259 |       4201 |       4268 |       4254 |       9548 |       9551 |       9602 |       9608 |       9538 |       9486 |      16373 |      16374 |      16323 |      16322 |      16024 |      15999 |      15875 |      15873 |      15827 |      15827 |       9617 |       9592 |       9544 |       9538 |       9576 |       9682
  misprediction rate                 |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      8.67% |      8.66% |      8.65% |      8.66% |      8.67% |      8.68% |      8.62% |      8.62% |      8.62% |      8.62% |      8.64% |      8.65% |      8.64% |      8.64% |      8.65% |      8.65% |      8.66% |      8.65% |      8.67% |      8.67% |      8.65% |      8.66%
  mpki                               |       6.86 |       6.86 |       6.86 |       6.86 |       6.86 |       0.19 |       0.18 |       0.18 |       0.18 |       0.18 |       1.11 |       1.11 |       1.11 |       1.11 |       1.11 |       1.11 |       1.10 |       1.10 |       1.10 |       1.10 |       1.10 |       1.10 |       1.10 |       1.10 |       1.10 |       1.10 |       1.11 |       1.11 |       1.11 |       1.11 |       1.11 |       1.11
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   14251979 |   14247132 |   14250096 |   14255330 |   12982442 |    3481633 |    3478006 |    3474699 |    3478602 |    3477409 |     778687 |     779123 |     784206 |     784519 |     777281 |     771821 |    1342574 |    1342724 |    1339924 |    1339862 |    1314925 |    1312000 |    1302858 |    1302749 |    1297277 |    1297277 |     784924 |     783843 |     778272 |     777569 |     782157 |     790287
    num misses                       |          8 |          8 |          8 |          8 |          8 |         12 |         12 |         12 |         12 |         12 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2
