                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |   99998522 |   98409938 |   98568159 |   98637250 |   98635458 |   98641570 |   98645246 |   98598838 |   98527717 |   98563622 |   98656593 |   98657914 |   98650007 |   98613603 |   98618028 |   98646668 |   98573879 |   98486164 |   98572025 |   98394320 |   98761205 |   98507586 |   98602592 |   98608775 |   98543432 |   98596007 |   98601702 |   98592672 |   98575169 |   98582119 |   98399359 |  100001393
  Cycles                             |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200 |   56203200
  IPC                                |       1.78 |       1.75 |       1.75 |       1.76 |       1.75 |       1.76 |       1.76 |       1.75 |       1.75 |       1.75 |       1.76 |       1.76 |       1.76 |       1.75 |       1.75 |       1.76 |       1.75 |       1.75 |       1.75 |       1.75 |       1.76 |       1.75 |       1.75 |       1.75 |       1.75 |       1.75 |       1.75 |       1.75 |       1.75 |       1.75 |       1.75 |       1.78
  Time (ns)                          |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000 |   15612000
  Idle time (ns)                     |         -1 |         -2 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -6 |         -0 |         -0 |         -0 |         -0 |         -1 |         -0 |         -0 |         -0 |         -2 |         -2 |         -6 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -4 |         30
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    4697626 |    4647864 |    4654301 |    4656605 |    4656561 |    4656706 |    4656797 |    4655741 |    4652914 |    4654053 |    4657222 |    4657280 |    4657034 |    4656120 |    4656191 |    4656866 |    4654610 |    4650807 |    4654508 |    4647235 |    4661529 |    4651958 |    4655824 |    4655989 |    4653311 |    4655667 |    4655817 |    4655626 |    4654678 |    4655055 |    4647325 |    4697774
  num incorrect                      |      55201 |      53558 |      53619 |      53639 |      53638 |      53639 |      53643 |      53628 |      53597 |      53619 |      53650 |      53650 |      53648 |      53631 |      53631 |      53644 |      53619 |      53590 |      53619 |      53547 |      53696 |      53594 |      53628 |      53629 |      53603 |      53626 |      53628 |      53624 |      53620 |      53621 |      53550 |      55201
  misprediction rate                 |      1.16% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.14% |      1.16%
