                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101371 |   99893936 |   99653502 |   99637008 |   99591657 |   99595899 |   99711591 |   99737316 |   99731070 |   99726821 |   99771840 |   99769895 |   99954022 |   99955730 |   99836169 |   99821524 |   99797668 |   99786806 |   99657575 |   99611607 |   99621037 |   99613511 |   99797372 |   99799575 |   99763702 |   99745836 |   99959890 |   99962923 |   99783765 |   99781283 |   99778455 |  100035048
  Cycles                             |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560 |   91519560
  IPC                                |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09 |       1.09
  Time (ns)                          |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100 |   25422100
  Idle time (ns)                     |        -31 |        -26 |         -0 |        -37 |        -22 |        -34 |        -16 |        -33 |        -12 |        -28 |        -72 |        -30 |        -15 |        -13 |         -0 |         -0 |        -19 |         -0 |        -28 |        -43 |        -94 |        -21 |        -30 |        -20 |        -30 |        -32 |        -24 |        -24 |        -28 |         -0 |         -0 |        -34
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8434063 |    8416626 |    8396418 |    8395034 |    8391223 |    8391578 |    8401298 |    8403460 |    8402936 |    8402579 |    8406361 |    8406197 |    8421675 |    8421820 |    8411774 |    8410543 |    8408532 |    8407619 |    8396760 |    8392898 |    8393692 |    8393059 |    8408505 |    8408690 |    8405677 |    8404176 |    8422169 |    8422423 |    8407362 |    8407153 |    8406916 |    8428483
  num incorrect                      |        357 |        356 |        355 |        355 |        355 |        355 |        355 |        355 |        355 |        355 |        355 |        355 |        356 |        356 |        356 |        356 |        355 |        355 |        355 |        355 |        355 |        355 |        355 |        355 |        355 |        355 |        356 |        356 |        355 |        355 |        355 |        356
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
