                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100055834 |   96636508 |   97229827 |   97228038 |   97240376 |   97241293 |   97232438 |   97227268 |   97240035 |   97236799 |   97260499 |   97258917 |   97193711 |   97195760 |   97203812 |   97205123 |   97237343 |   97239045 |   97237923 |   97241899 |   97232478 |   97231024 |   97276701 |   97276509 |   97224088 |   97221567 |   97251890 |   97250735 |   97215814 |   97218387 |   96625063 |  100101370
  Cycles                             |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280 |   81782280
  IPC                                |       1.22 |       1.18 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.19 |       1.18 |       1.22
  Time (ns)                          |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300 |   22717300
  Idle time (ns)                     |         75 |          5 |         13 |         80 |         -0 |         74 |         42 |         99 |         72 |         70 |         69 |         69 |         74 |         57 |         24 |         65 |         68 |         62 |         75 |         93 |          1 |         11 |         61 |         61 |         99 |          7 |         23 |         83 |         14 |         41 |         74 |         82
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8448847 |    8159919 |    8210143 |    8209995 |    8211035 |    8211113 |    8210366 |    8209930 |    8211004 |    8210731 |    8212734 |    8212601 |    8207084 |    8207256 |    8207948 |    8208058 |    8210779 |    8210922 |    8210828 |    8211162 |    8210367 |    8210247 |    8214106 |    8214088 |    8209660 |    8209450 |    8212009 |    8211912 |    8208959 |    8209176 |    8158955 |    8452681
  num incorrect                      |      17327 |      16444 |      16709 |      16709 |      16709 |      16709 |      16709 |      16709 |      16709 |      16709 |      16715 |      16715 |      16688 |      16688 |      16701 |      16701 |      16709 |      16709 |      16709 |      16710 |      16709 |      16709 |      16723 |      16723 |      16709 |      16708 |      16715 |      16715 |      16701 |      16701 |      16444 |      17331
  misprediction rate                 |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20% |      0.20%
