                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101416 |  100054529 |  100055068 |  100054725 |  100043080 |  100057217 |  100054292 |  100050503 |  100044820 |  100051910 |  100043058 |  100049649 |  100058188 |  100057771 |  100058736 |  100049068 |  100053686 |  100056155 |  100052785 |  100057158 |  100040940 |  100055015 |  100051787 |  100054358 |  100052833 |  100049975 |  100051165 |  100057261 |  100047080 |  100055679 |  100053865 |  100091615
  Cycles                             |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040 |   76181040
  IPC                                |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31 |       1.31
  Time (ns)                          |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400 |   21161400
  Idle time (ns)                     |          5 |         -0 |         17 |         -0 |         -0 |         -4 |         -0 |         20 |         -7 |         15 |          4 |          8 |         25 |         19 |         21 |         34 |        -14 |         31 |         -4 |         59 |         33 |         30 |         12 |         -0 |         -0 |          8 |         14 |         -0 |         28 |         -1 |         10 |         42
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    9615570 |    9610763 |    9610815 |    9610772 |    9609608 |    9611028 |    9610739 |    9610326 |    9609780 |    9610499 |    9609606 |    9610245 |    9611108 |    9611077 |    9611176 |    9610172 |    9610695 |    9610906 |    9610597 |    9611026 |    9609408 |    9610807 |    9610478 |    9610750 |    9610606 |    9610284 |    9610390 |    9611032 |    9609976 |    9610868 |    9610709 |    9614501
  num incorrect                      |     748154 |     747889 |     747891 |     747890 |     747826 |     747904 |     747888 |     747864 |     747836 |     747871 |     747826 |     747861 |     747905 |     747905 |     747907 |     747858 |     747882 |     747898 |     747876 |     747904 |     747812 |     747891 |     747871 |     747888 |     747877 |     747863 |     747868 |     747904 |     747849 |     747897 |     747884 |     748091
  misprediction rate                 |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22% |      7.22%
