                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101378 |   98408249 |   98192656 |   98068689 |   98336051 |   98481285 |   98331944 |   98173085 |   98503798 |   98383335 |   98258115 |   98405982 |   98292790 |   98175119 |   98553409 |   98103673 |   97963532 |   98730363 |   98317683 |   98174489 |   98389439 |   98243771 |   98197787 |   98331530 |   98154748 |   98338049 |   98428072 |   98291537 |   98344606 |   98176341 |   98552266 |   99914220
  Cycles                             |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920 |  697111920
  IPC                                |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14
  Time (ns)                          |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200 |  193642200
  Idle time (ns)                     |       1478 |       1037 |       1263 |       1400 |       1400 |       1474 |        -50 |        944 |       1263 |        601 |       1301 |       1476 |       1304 |       1181 |        866 |       1285 |       1232 |       1234 |       1152 |       1477 |       1241 |       1273 |       1488 |       1231 |       1392 |       1131 |       1481 |       1462 |       1020 |       1370 |       1006 |       1107
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1030291 |    1015390 |    1013351 |    1012130 |    1014659 |    1016084 |    1014630 |    1013141 |    1016320 |    1015126 |    1013957 |    1015372 |    1014284 |    1013156 |    1016762 |    1012473 |    1011039 |    1018446 |    1014500 |    1013150 |    1015170 |    1013837 |    1013387 |    1014616 |    1012970 |    1014674 |    1015574 |    1014246 |    1014755 |    1013165 |    1016732 |    1028804
  num incorrect                      |      67734 |      67161 |      67086 |      67036 |      67132 |      67197 |      67131 |      67077 |      67213 |      67150 |      67107 |      67161 |      67115 |      67077 |      67236 |      67049 |      66975 |      67338 |      67126 |      67077 |      67151 |      67103 |      67086 |      67130 |      67068 |      67132 |      67170 |      67114 |      67134 |      67077 |      67234 |      67701
  misprediction rate                 |      6.17% |      6.20% |      6.21% |      6.21% |      6.21% |      6.20% |      6.21% |      6.21% |      6.20% |      6.20% |      6.21% |      6.20% |      6.21% |      6.21% |      6.20% |      6.21% |      6.21% |      6.20% |      6.21% |      6.21% |      6.20% |      6.21% |      6.21% |      6.21% |      6.21% |      6.21% |      6.20% |      6.21% |      6.21% |      6.21% |      6.20% |      6.17%
  mpki                               |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68 |       0.68
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8830090 |    8684760 |    8666068 |    8655250 |    8678433 |    8691111 |    8678090 |    8664336 |    8693103 |    8682560 |    8671724 |    8684569 |    8674727 |    8664506 |    8697376 |    8658298 |    8645974 |    8712784 |    8676860 |    8664452 |    8683070 |    8670502 |    8666496 |    8678043 |    8662746 |    8678600 |    8686477 |    8674583 |    8679196 |    8664608 |    8697253 |    8814272
    num misses                       |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2
