                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101387 |   80821627 |   81397963 |   81385589 |   81333651 |   81338267 |   81628128 |   81378019 |   81338585 |   81328179 |   81835809 |   81645708 |   81414221 |   81851688 |   81378281 |   80472219 |   80466750 |   81387100 |   81350639 |   81371640 |   81241841 |   81257092 |   81648190 |   81412202 |   81363394 |   81362221 |   81835994 |   81631294 |   81423559 |   81849718 |   80874559 |  100096724
  Cycles                             |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600 |  226740600
  IPC                                |       0.44 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.35 |       0.35 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.44
  Time (ns)                          |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500 |   62983500
  Idle time (ns)                     |         99 |         92 |         49 |         74 |         23 |         57 |         31 |         76 |         99 |         75 |        -50 |         60 |         19 |        -21 |         84 |         31 |         80 |         63 |         -4 |          2 |         67 |         70 |         82 |         36 |         61 |         81 |        -54 |         37 |         24 |        -51 |         31 |         13
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   12980371 |   10726657 |   10797326 |   10795685 |   10789803 |   10790164 |   10824845 |   10794680 |   10790188 |   10789381 |   10849009 |   10826778 |   10799484 |   10851617 |   10794714 |   10682512 |   10681787 |   10795884 |   10791098 |   10793832 |   10778410 |   10780433 |   10827049 |   10799216 |   10792737 |   10792582 |   10849039 |   10825193 |   10800725 |   10851308 |   10732707 |   12979753
  num incorrect                      |      92037 |      82687 |      83315 |      83315 |      83202 |      83230 |      83542 |      83315 |      83232 |      83167 |      83593 |      83542 |      83315 |      83605 |      83315 |      82432 |      82432 |      83315 |      83313 |      83315 |      83120 |      83120 |      83542 |      83315 |      83315 |      83315 |      83594 |      83542 |      83315 |      83601 |      82788 |      92037
  misprediction rate                 |      0.70% |      0.76% |      0.77% |      0.77% |      0.77% |      0.77% |      0.77% |      0.77% |      0.77% |      0.76% |      0.76% |      0.77% |      0.77% |      0.76% |      0.77% |      0.77% |      0.77% |      0.77% |      0.77% |      0.77% |      0.77% |      0.77% |      0.77% |      0.77% |      0.77% |      0.77% |      0.76% |      0.77% |      0.77% |      0.76% |      0.77% |      0.70%
  mpki                               |       0.92 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       1.02 |       0.92
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15892147 |   12871693 |   12960129 |   12958267 |   12950100 |   12950912 |   12995524 |   12957128 |   12950967 |   12949141 |   13028003 |   12998257 |   12962575 |   13030637 |   12957168 |   12818568 |   12817743 |   12958495 |   12953021 |   12956169 |   12936053 |   12938348 |   12998640 |   12962272 |   12954928 |   12954751 |   13028034 |   12996016 |   12963979 |   13030316 |   12879973 |   15891447
    num misses                       |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
