                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |   99999274 |   99331933 |   99391025 |   99413674 |   99383292 |   99410175 |   99379225 |   99360892 |   99361218 |   99401881 |   99406050 |   99400547 |   99405281 |   99414806 |   99453068 |   99434094 |   99457533 |   99448861 |   99367727 |   99394189 |   99398290 |   99392749 |   99378581 |   99361624 |   99368206 |   99377985 |   99375594 |   99334319 |   99392643 |   99406571 |   99305864 |  100001362
  Cycles                             |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960 |   51708960
  IPC                                |       1.93 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.92 |       1.93
  Time (ns)                          |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600 |   14363600
  Idle time (ns)                     |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -2 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |          5 |         -0 |        -47 |         -0 |         -0 |         -0 |         -0 |         -0 |         11
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    3536985 |    3508414 |    3511450 |    3512613 |    3511052 |    3512437 |    3510842 |    3509903 |    3509920 |    3512010 |    3512224 |    3511941 |    3512184 |    3512671 |    3514632 |    3513660 |    3514838 |    3514415 |    3510256 |    3511614 |    3511824 |    3511539 |    3510810 |    3509941 |    3510280 |    3510779 |    3510655 |    3508536 |    3511533 |    3512251 |    3507079 |    3537118
  num incorrect                      |      78469 |      78296 |      78297 |      78298 |      78297 |      78297 |      78297 |      78297 |      78297 |      78297 |      78297 |      78297 |      78297 |      78298 |      78302 |      78302 |      78302 |      78302 |      78297 |      78297 |      78297 |      78297 |      78297 |      78297 |      78297 |      78297 |      78297 |      78296 |      78297 |      78297 |      78292 |      78469
  misprediction rate                 |      2.17% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.18% |      2.17%
